试题类型	知识范畴	题干	试题难度	正确答案	答案			
多选题	贷记卡	商务卡（单位信用卡）还款业务受理要件及初审要求为____。	难	123	经办人员提供加盖公章的法定代表人身份证复印件、法定代表人《授权委托书》（法定代表人本人办理时无需提供）	审查经办人员提供证件是否属于有效证件，以及其真实性、核对有效期、比对本人和照片，核对不符的都不能办理	审查商务卡还款账号对应的单位信息是否一致	若经办人员无法提供商务卡还款账号，则不能办理
多选题	贷记卡	信用卡商户分期申请业务分为____。	难	24	一般申请	普通申请	特别申请	强制申请
多选题	贷记卡	以下对于信用卡柜台挂失业务说法正确的有____。	难	234	该业务不允许代理	除允许主卡持卡人代理挂失附属卡卡片外，其余情况不允许代理	凭客户有效身份证件办理。经办人员须核实客户身份，核对客户姓名、身份证件号码、照片信息。客户身份证件为居民身份证的，须进行联网核查。若主卡持卡人代理挂失附属卡卡片的，须审查主卡持卡人有效身份证件。	受理范围：全国各级营业网点
多选题	贷记卡	以下对于信用卡销卡说法正确的是____。	中	1234	主附卡持卡人均可办理	主卡持卡人死亡或失踪，需要代理人办理的，代理人须出具公安部门出具的主卡持卡人死亡证明及与其继承关系的文件说明。	全国各级营业网点均可受理	卡片各账户无欠款的信用卡方可申请注销
多选题	贷记卡	信用卡销户业务限主卡持卡人办理。特殊情况下____。	难	13	代理销户只能办理销户转账，销户资金必须转入本行同一持卡人名下账户（同一客户号）	代理时仅需提供持卡人、代理人的有效身份证件原件	主卡持卡人死亡或失踪，需要代理人办理的，代理人须出具公安部门出具的主卡持卡人死亡证明及与其继承关系的文件说明，可办理销户取现。	主卡持卡人死亡或失踪，需要代理人办理的，代理人须出具公安部门出具的主卡持卡人死亡证明及与其继承关系的文件说明，只能办理销户转账。
多选题	贷记卡	以下关于信用卡销户业务柜台操作说法正确的是____。	中	1234	销户取现须一次性取出全部溢缴款，不可分多次取款	销户转账须一次性转账支出全部溢缴款，不可分多次转出	外币账户溢缴款由系统自动折算成人民币，并入人民币账户	《待核销过渡凭证》当日须核销
多选题	贷记卡	信用卡柜台____业务不允许代理。	易	1234	余额查询	卡片信息查询	附卡列表查询	本期账单信息查询
多选题	贷记卡	以下____业务只限主卡持卡人办理。	易	23	信用卡销卡	附卡列表查询	本期账单信息查询	交易明细查询
多选题	贷记卡	贷记卡本期账单信息查询可通过卡号查询____。	易	1234	应还款额	本期账单未还款额	账单日	到期还款日
多选题	贷记卡	以下对于贷记卡交易明细查询业务说法正确的有____。	难	124	该业务不允许代理	主附卡均可查询账户交易明细	仅主卡持卡人可查询交易明细	凭有效身份证件或卡片在全国各级营业网点办理
多选题	贷记卡	办理商务卡（单位信用卡）查询业务需审核____。	难	234	法定代表人身份证原件	加盖公章的法定代表人身份证复印件	经办人身份证件原件及复印件	法定代表人《授权委托书》（法定代表人本人办理时无需提供）
判断题	准贷记卡	办理准贷记卡卡片启用时，可以使用简单密码。	易	-1				
判断题	准贷记卡	对于发卡行主动发起换卡工作的，到期换卡工作要在持卡人卡片到期前完成。持卡人选择到网点申请换卡的，对于符合换卡条件的应在接到换卡申请之日起10个工作日内完成换卡工作。	难	1				
判断题	准贷记卡	准贷记卡BIN为622820和622830的卡片在集中制卡行操作；卡BIN为53591和49102的卡片在本地卡中心，也可以在发卡行同一地区其他网点操作。	难	1				
判断题	准贷记卡	准贷记卡销主卡时办理卡片及密码挂失的，需收取相关挂失手续费。	易	-1				
单选题	准贷记卡	对于需出示客户身份证件办理的准贷记卡柜面业务，经办人员需审核以下内容____。	易	4	证件是否有效及真实	核对有效期	比对本人和照片	以上都是
单选题	准贷记卡	卡BIN为____的准贷记卡启用，必须刷卡验磁。	难	1	622820	622830	53591	49102
单选题	准贷记卡	准贷记卡卡片领取：网点接到卡片后，立即通知持卡人领取卡片。自接到卡片起____仍无人认领的，需剪角作废，____内上缴销毁处理。对领取卡片的持卡人，经办人员审核持卡人本人有效身份证件无误后，将卡片交持卡人签收，并提示持卡人做卡片启用。	中	2	一个月、一个月	三个月、一个月	一个月、三个月	三个月、三个月
单选题	准贷记卡	卡BIN为622820和622830的持卡人办理准贷记卡到期换卡业务需预先在____填写客户姓名、证件号码、联系电话、联系地址、卡号等信息，并注明办理准贷记卡到期换卡业务后签字。	易	3	《个人结算账户申请书》	《个人综合金融服务申请》	《个人业务凭证》背面	《个人业务凭证》正面
单选题	准贷记卡	准贷记卡到期换卡业务受理范围为____。	中	2	全国各级营业网点	准贷记卡所属一级分行辖内网点办理	准贷记卡所属二级分行辖内网点办理	在办理申请业务时指定的网点
单选题	准贷记卡	准贷记卡到期换卡业务中，对于发卡行主动发起换卡工作的，到期换卡工作要在持卡人卡片到期前完成。持卡人选择到网点申请换卡的，对于符合换卡条件的应在接到换卡申请之日起____内完成换卡工作。	难	1	10个工作日	7个工作日	5个工作日	3个工作日
单选题	准贷记卡	准贷记卡到期换卡时，卡BIN为53591和49102的持卡人____。	难	3	填写《个人业务凭证》，经办人员审核《个人业务凭证》上各要素填写齐全后传真到指定上级机构办理	填写《个人业务凭证》，柜员当场操作	实行客户免填单，柜员当场操作	填写《个人综合金融服务申请》，柜员当场操作
单选题	准贷记卡	准贷记卡到期换卡时，卡BIN为622820和622830的持卡人____。	难	1	填写《个人业务凭证》，经办人员审核《个人业务凭证》上各要素填写齐全后传真到指定上级机构办理	填写《个人业务凭证》，柜员当场操作	实行客户免填单，柜员当场操作	填写《个人综合金融服务申请》，柜员当场操作
单选题	准贷记卡	____交易适用于准贷记卡损坏后，客户申请换发新卡的业务。	中	1	准贷记卡重制卡	准贷记卡到期换卡	准贷记卡损坏换卡	准贷记卡挂失换卡
单选题	准贷记卡	准贷记卡重制卡业务受理范围为____。	易	2	全国各级营业网点	准贷记卡所属一级分行辖内网点办理	准贷记卡所属二级分行辖内网点办理	在办理申请业务时指定的网点
单选题	准贷记卡	准贷记卡重制卡卡片必须使用____才允许更新有效期。	难	1	18个月以上（含18个月）	18个月以上（不含18个月）	12个月以上（含12个月）	12个月以上（不含12个月）
单选题	准贷记卡	准贷记卡卡片状态为____时，不可操作重制卡。	易	4	透支超期止付	其它人为止付	卡片挂失	以上都是
单选题	准贷记卡	办理准贷记卡重制卡业务，经办人员须收回损坏卡片____做剪角处理。	易	1	当场	次日	月末	上缴销毁日
单选题	准贷记卡	以下____业务办理成功后，应打印《业务凭证》。	难	4	准贷记卡卡片领用与启用	准贷记卡到期换卡	消费密码判断起点值维护	以上都是
单选题	准贷记卡	消费密码判断起点值维护交易可修改准贷记卡消费时需要验证密码的起始金额。消费密码起点值初始为0，输入的金额需为____的整数倍。	易	2	10	100	1000	10000
单选题	准贷记卡	以下哪种状态下，不可对准贷记卡进行止付____。	中	3	口头挂失	密码挂失	书面挂失（已止付账户）	书面挂失（未止付账户）
单选题	准贷记卡	准贷记卡卡状态为____状态下仍可对账户进行解止付，解止付后卡状态保持原非正常状态不变。	中	4	口头/密码/书面挂失	密码锁定	磁道锁定	以上都是
单选题	准贷记卡	办理准贷记卡销卡业务，因个人卡持卡人死亡、失踪等原因，合法继承人为证明自己的身份和有权销户并提取该项存款，应向____的公证处（未设公证处的地方向县、市人民法院）申请办理继承权证明书，网点凭以办理销户及支付手续。	中	1	网点所在地	持卡人户籍所在地	合法继承人户籍所在地	我行一级分行所在地
单选题	准贷记卡	对于密码错误、密码锁定情况下的准贷记卡销户业务，____，并于销卡三天后办理销户手续。	易	1	无需办理密码挂失手续，须核查身份	无需办理密码挂失手续，无须核查身份	需办理密码挂失手续，须核查身份	需办理密码挂失手续，无须核查身份
单选题	准贷记卡	对于密码错误、密码锁定的情况下的准贷记卡销户业务，无需办理密码挂失手续，须核查身份，并于销卡____办理销户手续。	中	3	当日	次日	三天后	五天后
单选题	准贷记卡	办理准贷记卡销户业务，账户必须____。	易	4	无透支	无授权	无冻结	以上都是
单选题	准贷记卡	准贷记卡销户业务在____办理。	易	3	准贷记卡所属一级分行辖内网点办理	准贷记卡所属二级分行辖内网点办理	原销卡网点办理	我行任一网点
单选题	准贷记卡	准贷记卡转账销户交易仅支持将资金转入过渡账户，后续可使用卡折存款交易，将过渡户内资金转入个人账户。《待核销过渡凭证》____。	易	4	次日核销	三个工作日内核销	自动核销	当日须核销
单选题	准贷记卡	以下____业务可在全国各级营业网点办理。	易	1	准贷记卡余额查询	准贷记卡额度查询	消费密码判断起点值查询	准贷记卡利息试算
单选题	准贷记卡	准贷记卡利息试算业务的试算日期必须____当前会计日期。	易	3	小于等于	小于	大于等于	大于
多选题	准贷记卡	我行现有卡BIN为____的准贷记卡。	中	1234	622820	622830	53591	49102
多选题	准贷记卡	____业务所领取的卡片须办理卡片启用。	易	1234	新发卡	到期换卡	补卡	损坏换卡
多选题	准贷记卡	以下对准贷记卡卡片领用与启用业务说法正确的有____。	易	134	该业务不允许代理	到期换卡、补卡和损坏换卡业务所领取的卡片不须办理卡片启用	网点接到卡片后，立即通知持卡人领取卡片	对领取卡片的持卡人，经办人员审核持卡人本人有效身份证件无误后，将卡片交持卡人签收，并提示持卡人做卡片启用。
多选题	准贷记卡	准贷记卡到期换卡交易适用于客户在____或者____时，到网点申请换发准贷记卡的业务。	中	24	卡片到期前一个月（自然月）	卡片到期前两个月（自然月）	卡片到期前三个月（自然月）	卡片已过期
多选题	准贷记卡	对于需出示卡片办理的准贷记卡柜面业务，经办人员需审核以下内容____。	易	1234	卡片是否为我行发行	卡片是否真实有效	有无“样卡”、“测试专用”等字样	有无打洞、剪角、毁坏、涂改或伪造的痕迹等
多选题	准贷记卡	准贷记卡到期换卡时，卡BIN为____和____的持卡人实行客户免填单，柜员当场操作。	易	34	622820	622830	53591	49102
多选题	准贷记卡	准贷记卡到期换卡时，卡BIN为____和____的持卡人需预先在《个人业务凭证》背面填写客户姓名、证件号码、联系电话、联系地址、卡号等信息，并注明办理准贷记卡到期换卡业务后签字。经办人员审核《个人业务凭证》上各要素填写齐全后传真到指定上级机构办理。	易	12	622820	622830	53591	49102
多选题	准贷记卡	以下对于准贷记卡重制卡业务说法正确的有____。	难	1234	未启用卡片不可操作重制卡	卡片状态异常（透支超期止付，其它人为止付，卡片挂失等情况），不可操作重制卡	经办人员须收回损坏卡片当场做剪角处理	客户需出示损坏卡片
多选题	准贷记卡	____业务不允许代理。	中	1234	准贷记卡卡片领用	准贷记卡卡片启用	准贷记卡到期换卡	准贷记卡重制卡
多选题	准贷记卡	准贷记卡止付交易适用于____，以及银行卡中心有必要进行的其他人为止付。	中	123	持卡人开立存款证明时的止付	担保人撤消担保时的止付	主卡持卡人止付副卡	副卡持卡人止付副卡
多选题	准贷记卡	办理准贷记卡解止付时，____必须与原止付交易的内容相一致。	易	1234	卡号	止付类型	止付日期	止付流水号
多选题	准贷记卡	以下对准贷记卡销卡业务说法正确的有____。	难	1234	销主卡时不能提供主卡卡片的，须先办理挂失手续并注明挂失销卡	如遗忘密码也需同时办理密码挂失	销主卡时办理卡片及密码挂失的，可不收取相关挂失手续费	受理范围：准贷记卡所属二级分行辖内网点办理
多选题	准贷记卡	允许卡状态为____状态下的准贷记卡销卡，需要3+0主管授权。	中	234	正常	书面挂失、口头挂失	密码挂失	密码锁定、磁道锁定
多选题	准贷记卡	以下对于准贷记卡销户业务说法正确的是____。	易	134	分为现金销户与转账销户	单位卡可现金销户	账户无透支，无授权，无冻结。	只能在原销卡网点办理
多选题	准贷记卡	以下对于准贷记卡销户业务凭证说法正确的是____。	中	24	交易成功后打印《个人业务凭证》，交客户签字确认后加盖业务办讫章作为传票留存	交易成功后打印《业务凭证》，交客户签字确认后加盖业务办讫章作为传票留存	打印利息及代扣税款清单作为专夹保管	打印利息及代扣税款清单作为传票留存
多选题	准贷记卡	办理准贷记卡各类查询业务说法正确的有____。	中	12	需审核客户提供的准贷记卡或客户本人有效身份证件	业务不允许代理	可以凭持卡人身份证与代理人身份证代理查询	可到任一营业网点办理
多选题	准贷记卡	以下对准贷记卡联机打印对账单业务说法正确的有____。	易	234	该业务不允许代理，准贷记卡主附卡持卡人均可办理	本交易最多打印6个月内账单	该交易由网点或本地卡中心操作，对于因诉讼、反洗钱等特殊需要，需内部打印持卡人对账单的，须由需求部门提出申请，卡中心在“3+0”主管授权的条件下打印，可不需输入密码。	该业务不允许代理，仅限准贷记卡主卡持卡人办理
判断题	惠农卡	惠农卡是中国农业银行面向农户发行的银联标准借记卡产品，惠农卡除具有金穗借记卡存取现金、转账结算、消费、理财等全部或部分金融功能外，还向持卡人提供农户贷款载体、涉农项目代理等特色服务功能，并提供一定的金融服务收费减免优惠。	中	1				
判断题	惠农卡	交易明细折功能是农业银行为满足持卡人直观了解惠农卡账务变动情况而提供的账务核对服务，交易明细折具备金融交易功能。	易	-1				
判断题	惠农卡	单独申请惠农卡时，申请人持本人居民身份证到当地农行网点直接申请办理。发卡行根据申请人身份证登记住址判断农户身份。对于符合农户贷款申请条件的客户，发卡行也需重新认定其农户身份。	难	-1				
判断题	惠农卡	在申请社保类专用惠农卡时，如申请人未办理居民身份证的，农业银行受理网点在确认其为本人的前提下，可将其提供的户口簿作为有效身份证件受理。	易	1				
判断题	惠农卡	批量开立的惠农卡统一使用缺省密码，须办理激活后方可正常使用。持卡人领卡后应及时持惠农卡和居民身份证到农业银行任一网点或通过农业银行指定渠道办理卡片激活，受理网点也可根据实际情况采用柜台延伸等方式向持卡人提供上门业务服务。	难	1				
判断题	惠农卡	批量开立的惠农卡卡片激活交易须由持卡人本人办理，不允许代办。通过POS、智付通等设备激活卡片的，受理网点应派双人为客户办理，留存持卡人有效身份证件复印件，并要求持卡人在激活登记簿上签字。	难	1				
单选题	惠农卡	惠农卡是中国农业银行面向____发行的银联标准借记卡产品。	易	1	农户	公务员	所有人	员工
单选题	惠农卡	单独申请惠农卡时，申请人持本人居民身份证到当地农行网点直接申请办理。发卡行根据____判断农户身份。	中	4	申请人身份证号码	申请人家庭状况	申请人工作单位	申请人身份证登记住址
单选题	惠农卡	农户每人可申领____标准惠农卡主卡，社保类专用惠农卡可按项目需要实现一人多卡。每张主卡最多可申领____附属卡。	中	3	多张、2张	多张、3张	1张、2张	1张、3张
单选题	惠农卡	农户申领惠农卡时应出具居民身份证。申请人年龄未满____周岁的，应由监护人代理开立惠农卡账户，出具监护人的居民身份证和惠农卡使用人的居民身份证件或户口簿。	易	2	15	16	17	18
单选题	惠农卡	惠农卡主卡持卡人可为家庭其他成员申请附属卡，申请时应提供____。	中	4	农户身份认定材料	附属卡持卡人的居民身份证和户口簿	本人的居民身份证和户口簿	本人和附属卡持卡人的居民身份证和户口簿
单选题	惠农卡	以下对惠农卡发卡流程说法不正确的是____。	难	2	通过批量方式开卡的，发卡行可将完成开卡的卡片及卡号清单交合作机构签收，合作机构接到卡片和卡号清单后将卡片发给申领人签收，申领人签收后发卡行应及时从合作机构收回卡号清单。	通过批量方式开卡的，发卡行不可将已开惠农卡直接发放到持卡人手中。	通过批量方式开卡的，发卡行也可将已开惠农卡直接发放到持卡人手中。	通过单独申请方式办卡（包括申请附属卡）的，申请人在柜台设置密码后即可正常使用惠农卡。
单选题	惠农卡	惠农卡主卡收费优惠有效期为____年，超过优惠期，系统自动停止对持卡人的各项金融服务收费优惠。持卡人如需继续申请收费优惠的，可持惠农卡、本人居民身份证到发卡行指定网点进行身份确认，对于符合惠农卡发卡条件的受理网点应即时为其开通惠农卡的收费优惠功能。	中	3	1	2	5	10
多选题	惠农卡	惠农卡采用平面印刷方式，卡面印有“金穗惠农卡”字样，BIN号包括622841和621336，其中____。	难	13	622841为标准惠农卡	621336为标准惠农卡	621336为社保类专用惠农卡	622841为社保类专用惠农卡
多选题	惠农卡	惠农卡具有金穗借记卡的基本金融功能，同时可向持卡人提供交易明细折(对账折)、____等多种特色服务功能。	难	1234	农户贷款载体	农村养老医疗等社会保障资金代理	农村公用事业代收付	涉农财政补贴资金代理
多选题	惠农卡	农户贷款载体功能是农业银行以惠农卡为载体对农户贷款进行发放和收回。签约自助可循环方式的农户贷款，可通过惠农卡在网点、自助渠道或“金穗惠农通”工程服务点办理贷款的借款、还款等业务，实现农户贷款____。	中	134	一次授信	多次授信	循环使用	随借随还
多选题	惠农卡	农户贷款放款专用子账户是在惠农卡内设立的专门用于存放农户贷款的子账户，该账户内的资金仅限于____。	易	34	取现	转账	在省内指定的特约商户消费	用于归还农户贷款
多选题	惠农卡	惠农卡面向农户个人发卡，设主卡和附属卡，主卡持卡人可根据需要对附属卡支付的____进行控制。	易	123	渠道	金额	次数	用途
多选题	惠农卡	惠农卡主卡申请分为批量申请和单独申请两种模式。批量申请由与发卡行开展涉农代理项目合作的____代理申请。	中	234	个人	政府组织	机构	企事业单位
多选题	惠农卡	办理惠农卡主卡批量申请由与发卡行开展涉农代理项目合作的合作机构代理申请。发卡行需____。	难	124	留存双方合作协议	留存合作机构负责人、授权经办人及被代理人的有效身份证件复印件	对被代理农户身份的真实性承担责任	对被代理农户逐户进行联网核查
多选题	惠农卡	发卡行在受理惠农卡附卡申请业务时，应对以下要素进行审核：____。	难	1234	申请人出示有效证件是否真实	申请资料和申请表填写要素是否齐全	申请人身份是否属于惠农卡发卡对象范围	主附卡持卡人是否为同一家庭成员
多选题	惠农卡	惠农卡的支付密码是持卡人办理业务时系统对其进行身份确认的重要依据。为提高密码的安全性，系统不支持持卡人将惠农卡密码设置为____等简单密码。	易	1234	6个0-9	123456	持卡人生日	身份证后六位
多选题	惠农卡	惠农卡支持办理____非柜面业务，应持本人有效身份证件到发卡行网点申请办理，不得由他人代理申请。	易	1234	电话支付	网上支付	手机支付	其他电子支付等
多选题	惠农卡	农业银行对惠农卡主卡的金融服务收费实施以下优惠：____。	易	123	免收惠农卡账户小额账户服务费	免收惠农卡和交易明细折的工本费（包括换卡和补卡）	减半收取或全免惠农卡年费（减免幅度由各一级分行确定）	惠农卡附属卡同等享受以上费用优惠
判断题	银行卡差错处理	银行卡差错业务是指通过差错处理、风险控制等方式进行银行卡交易确认、资金调整的业务。银行卡差错争议业务通过中国农业银行银行卡差错争议业务平台进行处理。	易	1				
单选题	银行卡差错处理	银行卡差错争议业务行内交易风险控制通过请款等方式实现。请款交易的收单行应在发起请款____内提交所有证明材料。	中	3	当日	次日	后3个工作日	后5个工作日
单选题	银行卡差错处理	银行卡差错争议业务行内风险控制以____为主要手段。	易	2	人员控制	账户控制	金额控制	时间控制
单选题	银行卡差错处理	银行卡差错争议业务行内风险控制以账户控制为主要手段。发卡行应在收到冻结请求后____内完成对持卡人账户资金的冻结，并在____内向收单行做出明确查复。	难	1	半小时、1小时	1小时、3小时	当日、当日	当日、次日
单选题	银行卡差错处理	银行卡差错争议业务请款冻结属错账冻结，期限不超过____。冻结期满后，发卡行可做解冻处理。需要继续冻结的，收单行应通过批注或其他方式向发卡行申请延期；延期冻结期限不超过____且收单行可多次申请延期。	难	4	半年、半年	半年、1年（365日）	1年（360日）、1年（360日）	1年（365日）、1年（365日）
单选题	银行卡差错处理	银行卡差错争议业务中收单行应在发起请款后，发卡行应在做出可以调账的请款回复后____内对已冻结款项发起请款确认，收单行未及时提供证明材料的除外。	易	3	1个工作日	3个工作日	5个工作日	7个工作日
单选题	银行卡差错处理	银行卡差错争议业务行内差错处理包括查询、确认查询（含调单）、再查询、贷记调整、一次退单、再请款、二次退单，其中____纳入资金清算。	难	1	贷记调整、一次退单、再请款、二次退单	查询、确认查询（含调单）、再查询	贷记调整、再请款	一次退单、二次退单
单选题	银行卡差错处理	银行卡差错争议业务跨行差错处理包括确认查询（含调单）、请款、贷记调整、一次退单、再请款、二次退单，其中____纳入资金清算。	难	4	贷记调整、再请款	一次退单、二次退单	确认查询（含调单）	请款、贷记调整、一次退单、再请款、二次退单
多选题	银行卡差错处理	银行卡差错争议业务行内交易风险控制通过请款等方式实现。请款交易包括____处理等环节。	中	1234	请款	请款解除	请款确认	特殊账务
多选题	银行卡差错处理	银行卡差错争议业务行内交易风险控制通过请款等方式实现。适用于因____等原因造成的银行或柜员短款。	易	1234	银行卡系统、网络	受理终端、自助设备	临柜业务	电子渠道
多选题	银行卡差错处理	以下对于银行卡差错争议业务请款交易收单行处理流程的说法正确的有____。	难	123	收单网点向上级行申请冻结并发送《请款（解除）报告》和原始凭证影印件（可先申请冻结，再按时限要求补充证明材料）	收单行二级分行。对网点的证明材料（《请款（解除）报告》及原始凭证影印件）审核无误后，向收单行一级分行发出申请并提供证明材料。待收到一级分行关于冻结情况的明确查复后及时查复网点	收单行一级分行。对二级分行的证明材料审核无误后，向发卡行一级分行发出冻结申请并提供证明材料。待收到发卡行关于冻结情况的明确查复后及时查复二级分行	收单行可在交易当日向发卡行发起请款，并在当日资金清算后对请款做“绑定”交易，即对未基于流水发起的请款交易绑定对应流水。
多选题	银行卡差错处理	以下对于银行卡差错争议业务请款解除交易的说法正确的有____。	难	124	申请请款解除与申请请款的主体应一致	请款解除金额应与请款冻结金额一致，不允许部分解除	请款解除金额应与请款冻结金额一致，允许部分解除	申请请款解除须在《请款（解除）报告》上说明解除原因
多选题	银行卡差错处理	以下对于银行卡差错争议业务请款确认处理的说法正确的有____。	难	13	请款确认只能由发卡行发起，且仅限存入类交易	每笔交易可进行多次请款确认，请款确认累计金额可以超过原始交易金额	每笔交易可进行多次请款确认，但请款确认累计金额不得超过原始交易金额	请款确认须征得持卡人同意
多选题	银行卡差错处理	差错平台有交易流水的特殊账务处理适用于____。	难	1234	消费金额大于清算金额	交易被重复撤销	贷记调整或请款确认有误	信用卡还款有误或还款不成功
