试题类型	知识范畴	题干	试题难度	正确答案	答案			
单选题	专业知识	当机构投资者办理签约、解约、业务密码管理和业务密码修改等交易时，使用（  ）凭证。	易	2	中国农业银行业务回单	中国农业银行银期转账业务申请表	中国农业银行空白凭证	中国农业银行全国银期转账客户服务协议
单选题	专业知识	《中国农业银行全国银期转账客户服务协议》需专夹保管，定期归档，保存期（  ）。	中	3	10年	15年	永久	5年
单选题	专业知识	银期转账对公结算账户业务密码管理交易为对公结算账户签约银期转账设置转账密码。机构投资者办理该业务时，需到柜台填写《中国农业银行银期转账业务申请表》，并加盖（）。	难	3	单位公章	业务办讫章	银行预留印鉴	单位公章和银行预留印鉴
单选题	专业知识	投资者使用（）可从期货公司交易端发起转账交易。	难	1	新转账密码	账户密码	交易密码	查询密码
单选题	专业知识	期货公司保证金账户凭证打印/补打只能由期货公司保证金账户（）发起。	中	2	交易行	主办行	开户行	任意网点
单选题	专业知识	当个人投资者身份证件类型为（）只能在银行端发起银期转账业务签约解约交易。	中	2	临时身份证	重号身份证	居民身份证	户口簿
多选题	专业知识	银期转账业务中，机构投资者指（）。	易	1234	证券投资基金	合格境外投资者	一般企业法人	信托公司及其信托业务
多选题	专业知识	银期转账业务在营业网点端的日间操作包括（）交易。	易	1234	客户管理类	账户管理类	转账交易类	查询打印类
多选题	专业知识	机构投资者签约银期转账业务时，需提供以下（）资料。	难	234	企业法人营业执照正本原件及复印件	法人组织机构代码证复印件	法定代表人有效身份证复印件	对公结算账户或单位借记卡
多选题	专业知识	当投资者签约银期转账业务提供的借记卡或对公结算账户为（），签约交易仍可以成功	难	12	挂失	冻结状态	密码锁定	销卡
判断题	专业知识	个人存款证明冻结到期日终，个人金融资产不自动解除冻结。（）	中	-1				
判断题	专业知识	个人存款证明业务按省域中心范围管理，允许跨省域中心办理。（）	中	-1				
单选题	专业知识	申请开立个人存款证明所涉及的个人金融资产必须从个人存款证明（）起予以冻结止付。	易	1	开具之时	当日日终	开具之后第一天	开具之后第二天
单选题	专业知识	对同一笔个人存款证明，在个人存款证明冻结到期日前可以（）打印多份个人存款证明。	难	4	一次	两次	多次	一次或多次
单选题	专业知识	为客户办理个人存款证明申请开立业务时，输入（）。	难	4	证件类型、证件号码、户名	证件类型	户名	冻结到期日、证件类型、证件号码、户名
单选题	专业知识	通过（）单笔撤销交易可完成个人存款证明书代码下所有存款及投资产品的解冻。	难	1	多次	一次	两次	三次
单选题	专业知识	客户在已开立的个人存款证明到期日前，补打个人存款证明时，需到（）办理。	中	2	开户行	原开立营业机构	开户行所在地	二级辖内机构
单选题	专业知识	补打个人存款证明成功后，需联动收费交易，打印( )。	中	4	记账凭证	收费回单	收费回单并加盖业务办讫章	记账凭证、收费回单并加盖业务办讫章
单选题	专业知识	个人存款证明凭证作废时，每次能作废（）。	易	1	1张	2张	多张	3张
多选题	专业知识	个人存款证明仅作为客户本人在银行个人金融资产的证明（ ）。	易	1234	不能挂失	不得转让	不得为他人担保或作其他用途	不能作为办理支取的凭据
多选题	专业知识	可用于开立个人存款证明的个人金融资产包括：（）	易	1234	本外币定活期储蓄存款	凭证式国债	储蓄国债	中低风险的个人理财产品
多选题	专业知识	客户申请开立个人存款证明业务时，需提交以下资料（ ）。	中	1234	本人有效身份证件及复印件	个人金融资产权利凭证	填写申请书	由他人代理的，还需提供代理人的有效身份证件及复印件
多选题	专业知识	客户要求提前终止个人存款证明时，需到原开立营业机构办理，提交以下资料（）。	中	123	本人有效身份证件	已开具的所有个人存款证明	由他人代理的，还需提供代理人的有效身份证件	银行卡
判断题	专业知识	柜员根据客户开立个人存款证明的份数收取服务费。（）	易	1				
判断题	专业知识	用于代发工资的内部账户，多个委托单位可共用一个内部账户。（）	易	-1				
判断题	专业知识	经办机构应当为委托单位建立专门的代发工资合约，不得多个委托单位共用一个合约，可以在代发工资合约下增加其他批交易类型。（）	难	-1				
单选题	专业知识	与委托单位建立网银代发工资业务需要签订以下哪种协议。（）	易	1	中国农业银行网上代付服务协议	现金管理服务协议	银企通平台服务协议	中国农业银行电子银行服务协议
单选题	专业知识	经办人员可通过（）交易查询代发工资合约的相关信息。	中	4	9207	9206	9212	9012
单选题	专业知识	代发工资协议终止后，经办人员可通过（）交易删除对应的代发工资合约。	难	1	9075	9010	9011	9206
单选题	专业知识	柜面代发工资款项须先转入其（），然后再发放到职工个人账户，经办机构不得垫付资金。	易	3	基本存款账户	专用存款账户	对应的内部账户	临时存款账户
单选题	专业知识	代发工资业务工资发放对象应具有我行（）	易	1	个人结算账户	单位结算账户	临时存款账户	专用存款账户
单选题	专业知识	因我行系统或人员等自身原因造成代发工资入账差错，根据（）相关规定执行。	难	3	中国农业银行代发工资业务柜面操作规程	中国农业银行代发工资管理办法	中国农业银行临柜基本业务管理办法	中国农业银行员工违反规章制度办法
多选题	专业知识	办理代发工资业务，我行应与委托单位签订服务协议，委托单位需要提供以下资料。	易	1234	三证合一营业执照	开户许可证	法定代表人身份证件复印件	经办人有效证件原件及复印件及法人授权委托书
多选题	专业知识	开户单位与银行签订代发工资协议后，经办人员为每个委托单位建立专用内部账户，内部账户开立要求为：（）	难	24	户名为代发工资款项--XX（户名），户名不能简写	科目号为66699	科目号为66999	余额性质为贷方蓝字，计息方式为不计息，销账标志为不销账
多选题	专业知识	委托单位代发工资款项应来源于（）。	难	12	基本存款账户	经财政部门批准设立的预算单位零余额账户	一般存款户	专用存款账户
多选题	专业知识	代发工资业务是指农业银行接受机关企事业单位和个体工商户委托，根据其提供的清单数据，代其发放：（）	易	1234	职工工资	奖金	福利费	养老金
多选题	专业知识	电子数据方式发放工资，委托单位须向我行提交加密的明细数据，其中（）为必须提供。	易	1234	序号	姓名	银行账号	代发金额
判断题	专业知识	A单位在农银网点柜面办理代发工资业务，出纳人员将代发数据用QQ传输给客户经理，并将纸质清单和代发业务书面申请邮寄给客户经理，客户经理将数据拷贝后给柜面经办人员办理。（）	易	-1				
判断题	专业知识	客户首次购买理财产品时，可在任意网点进行签约。（）	易	-1				
判断题	专业知识	在网银端和现金管理银企通平台认购、申购的理财产品不可在柜面端赎回。（）	难	-1				
判断题	专业知识	对公“双利丰”如果客户提前支取，提前支取部分按活期存款利率计息并计复利。（）	难	-1				
单选题	专业知识	非企业法定代表人（单位负责人）首次办理理财业务时需要提供（ ）。	易	1	理财业务授权委托书	经办人有效身份证件原件	法人代表身份证件原件	营业执照正本
单选题	专业知识	对公双利丰账户，原则上要求留存金额最低为等值人民币（）万元。	易	1	5	10	15	20
单选题	专业知识	对公双利丰子账户原则上最低汇总金额不得低于等值人民币（）万元。	难	4	50	100	200	500
单选题	专业知识	对公双利丰解约时，若我行提出解约，需提前向单位客户出具书面通知，并在书面通知到达客户（）个工作日后由柜员在BOEING系统中执行解约交易。	中	4	3	5	7	10
单选题	专业知识	柜员选择（）交易进行对公客户理财风险类型评估问卷录入。	中	2	50221	50222	50223	50224
单选题	专业知识	对公理财解约时需要（）授权。	中	3	1+0	2+0	3+0	远程授权
多选题	专业知识	客户在办理理财签约时应提供如下哪些资料（）。	易	123	参照《人民币银行结算账户管理办法》开户时要求提供的有关证件文件，提交加盖公章的相关资料的复印件	非企业法定代表人（单位负责人）办理财财业务时，需要提供《理财业务授权委托书》（若被授权人或者授权业务范围未发生变更，则无需提供）	经办人有效身份证件原件及复印件	法定代表人身份证件原件及复印件
多选题	专业知识	对公客户理财签约信息变更时，应持有（）。	难	1234	加盖公章的企业营业执照正本或副本复印件（复印件随传票装订）。	加盖公章的组织机构代码证、事业单位法人、社会团体或其他组织提供的民政部门或主管部门颁发的注册登记证书复印件（复印件随传票装订）	经办人合法有效身份证件原件及复印件（复印件随传票装订）	非企业法定代表人（单位负责人）办理的，需提供《理财业务授权委托书》
多选题	专业知识	对公客户理财业务解约时，应持有（）	难	1234	加盖公章的企业营业执照正本或副本复印件（复印件随传票装订）。	加盖公章的组织机构代码证、事业单位法人、社会团体或其他组织提供的民政部门或主管部门颁发的注册登记证书复印件（复印件随传票装订）	经办人合法有效身份证件原件及复印件（复印件随传票装订）	非企业法定代表人（单位负责人）办理的，需提供《理财业务授权委托书》
多选题	专业知识	已在我行开立活期存款帐户的单位客户申请办理对公“双利丰”业务需提供以下资料（）。	难	1234	单位客户开户许可证复印件；	有效的组织机构代码证复印件；	法定代表人身份证件复印件；	被授权人身份证件复印件及授权书（如需）
判断题	专业知识	第三方存管/融资融券预约开户是指证券投资者通过银行网点进行开户基本信息登记，并由银行将证券投资者信息发送证券公司进行开户预约，最后由投资者到证券公司进行身份核实确认后，即可开通各类账户用于银证转账和证券投资的一项金融服务业务。（）	易	1				
单选题	专业知识	客户签约/解约第三方存管不包含（）。	易	4	第三方存管/融资融券签约	对公结算账户第三方存管/融资融券签约	第三方存管/融资融券带资金账号签约	第三方存管/融资融券强制变更签约账户
单选题	专业知识	个人投资者申请“第三方存管/融资融券带资金账号签约”无需提供()。	易	2	本人有效身份证件原件	户口簿	《证券代理业务协议书》客户联	同名农业银行借记卡
单选题	专业知识	预约开户撤销是指证券投资者通过（）撤销预约开户信息的一项金融服务业务。	易	1	银行网点	网上银行	手机银行	自助设备终端
多选题	专业知识	客户交易结算资金第三方存管业务发起方式主要包括：（）。	易	1234	营业网点柜台	电话银行、网上银行、手机银行	自助终端	证券公司营业网点及电子化渠道
多选题	专业知识	第三方存管转账业务包含:()。	中	123	借记卡资金转入资金账户	资金账户资金转银行账户	对公结算账户资金转资金账户	借记卡资金转入其他投资机构账户
多选题	专业知识	第三方存管变更业务包含：（）。	易	1234	更换借记卡	强制变更签约账户	对公结算账户客户信息修改”	预指定客户证件类型修改
多选题	专业知识	客户信息修改是指已经签约我行第三方存管业务和融资融券业务的个人投资者或使用单位借记卡的机构投资者修改银行存管系统中记录的客户信息，该交易不能修改客户的 （）。	中	124	证件类型	证件号码	移动电话	客户名称
多选题	专业知识	机构投资者申请更换第三方存管签约借记卡，需提供(）。	难	123	《中国农业银行客户交易结算资金第三方存管业务申请表》并加盖银行预留印鉴	营业执照或法人组织机构代码证原件及加盖公章的复印件	需变更的新旧同名单位借记卡	证券代理业务协议书
单选题	专业知识	“双利丰”个人通知存款留存金额由（    ）设定，不设最低额限制，当主账户余额低于留存金额时，不再从“双利丰”子账户中转回	中	4	总行	一级分行	二级分行	客户自行
单选题	专业知识	人民币“双利丰”个人通知存款支取金额不足（   ）万元（大众版）或（   ）万元（投资版）、外币“双利丰”个人通知存款支取金额不足等值（   ）美元的，均按相应活期存款利率计息。	难	2	10    5    1000	5     10   1000	5     10   5000	10    5    5000
单选题	专业知识	已签约原一天或七天“双利丰”个人通知存款的存量客户，仍按原协议规定执行。一天“双利丰”个人通知存款留存金额不低于人民币1万元（含），最低转存金额不低于人民币(    )。	难	1	10万元（含）	10万元（不含）	5万元（含）	5万元（不含）
单选题	专业知识	（  ）是指客户与银行签订协议后，遇到央行调整整存整取存款利率时，系统按照既定的公式计算出“合理转存天数”，自动与客户整存整取存款已存的实际天数进行比对，判断是否转存的一项业务。	中	2	双利丰	整存整取加息智能转存	“聪明账”增值账户	定利丰
单选题	专业知识	个人自动转账业务中的（    ）是指对转出账户余额超出预设留存金额的差额部分进行转账。	易	2	指定金额转账	留存金额差额转账	留存金额差额取整转账	补足余额转账
单选题	专业知识	自动转账管理端仅限（   ）使用，在总行授权浮动范围内，根据各自业务经营发展需求和客户群体特征，个性化设置签约手续费和转账手续费。	易	2	总行	一级分行	二级分行	一级支行
单选题	专业知识	以下哪种不可以作为个人自动转账业务转出账户（   ）。	难	4	个人活期结算存折	准贷记卡	借记卡	定期一本通
单选题	专业知识	“聪明账”增值账户业务是指客户与银行签订协议，约定把客户名下指定的（   ）个人活期存款账户与整存整取存款定期子账户系统联系起来，进行科学管理，以增加客户收益的一项自动理财业务。	易	3	个人活期结算存折	准贷记卡	借记卡	贷记卡
单选题	专业知识	“聪明账”增值账户自动约转的留存金额最低可为（  ）元。	中	1	0	50	1000	10000
单选题	专业知识	"个人资金归集业务中，（   ）是指当子账户的余额超出起付金额时，将超出部分按照设定的取整单位的整数倍转入主账户
    
"	易	4	全额归集	差额归集	全额取整归集	差额取整归集
单选题	专业知识	以下不能作为个人资金归集主账户的是（    ）。	难	4	单位人民币结算账户	活期结算存折	借记卡	准贷记卡
单选题	专业知识	个人资金归集主账户是个人活期结算账户的，选择（   ）方式入账	中	3	直接入账	批量入账	单笔入账	汇总入账
单选题	专业知识	个人资金归集转账费支付方可以打印最近（    ）的转账费收费凭证	中	4	一个月	二个月	三个月	六个月
单选题	专业知识	个人资金归集相关凭证专夹保管的，保管期限为（    ）。	难	3	五年	十五年	永久	三年
单选题	专业知识	对开放式理财产品，系统支持全部或部分赎回，部分赎回时，赎回后单笔子合约剩余金额不得低于（    ）份。	中	2	50	100	500	1000
单选题	专业知识	理财产品签约时，个人客户持有效身份证件及在我行开立的个人结算账户（借记卡或凭密支取的结算账户存折）在（   ）以客户号进行签约，签约后该客户号名下的所有结算账户均可以进行交易。	难	3	全国任一网点	二级分行辖内任意网点	开户行所在省内的任一营业机构	开户行
单选题	专业知识	以下关于理财产品预约说法错误的是（   ）。	难	2	预约需在预约有效期内进行	预约只能由客户亲自办理	已在我行完成理财签约的客户才可以办理理财预约认购额度	客户预约成功后认购用的账号必须与预约时所留的账号一致
单选题	专业知识	客户只能补打（   ）次理财产品交割单	难	2	1	2	5	多
单选题	贵金属	各级分支行（含网点）会计部门在实物黄金系统中执行库存管理类交易前，必须先（    ），然后再进行各类库存管理交易。	中	3	开立破损金账户           	开立实物黄金内部账户    	开立实物黄金表外账户	开立成品金账户
单选题	贵金属	总行数据中心每个交易日（    ）执行金生利业务定投批量。	易	3	上午08：00         	上午 09：02	上午10：02  	下午16：00
单选题	贵金属	委托代销，现货销售贵金属产品，是指企业提前配货至我行网点，以柜台摆卖的形式进行销售。客户按照实时价格全额付款后，经办网点即时交付实物贵金属产品，并提供交易凭证，由（    ）为客户开具普通销售发票。	难	3	 总行	 一级分行  	经办网点   	黄金企业
单选题	贵金属	"“传世之宝”是由(  )设计，并在国家商标管理局注册商标的自营实物贵金属产品，黄金产品成色为Au9999,白银产品成色为Ag999。"	易	2	 黄金企业   	中国农业银行自主  	中国农业银行与黄金企业共同    	都不正确
单选题	贵金属	存金通账户冻结必须在客户（   ）网点办理，解冻必须在原冻结网点办理。	难	2	贵金属账户开立  	借记卡开卡   	一级分行任意  	 二级分行任意
单选题	贵金属	各级行调拨实物黄金产品须由个人业务部门通过（    ）系统向上级行发起调拨申请，根据上级行个人业务部门批复进行调拨。	易	3	金库调拨          	 BoEing	ATII   	Notes
单选题	贵金属	“传世之宝”业务交易时间为经办网点营业日（节假日除外）的（     ），总行可视情况调整交易时间。	中	3	8:30-18:30	9:00-15:30	9:30-15:30	10:00-15:30
单选题	贵金属	各级行调拨“传世之宝”产品须由（     ）通过投资平台管理端向上级行发起调拨申请，根据上级行个人业务部门批复进行调拨。	易	2	计财部	个人业务部	网点	保卫部门
单选题	贵金属	存金通产品的交易起点（     ）克，交易递增单位为（     ）克。	易	1	1，1	"100,100"	"5,5"	"10,10"
单选题	贵金属	存金通业务客户提货价值大于（     ）元（按提货时点价格计算）时需出示本人有效身份证件原件。	易	3	1万 	2万	5万	10万
单选题	贵金属	存金通账户定投是指我行存金通签约客户，与我行签订定投协议后，在每个月的固定日期，按照固定的重量，以我行当日上午（     ）的系统报价买入存金通产品存入其贵金属账户的业务。	中	3	9:00	9:30	10:00	10:30
单选题	国债	凭证式国债以（  ）元为起点并按（ ）元的整数倍发行。	中	2	　　　50  、50	　　　100、100	1000、1000	　　　5000、1000
单选题	国债	电子式储蓄国债只能使用个人人民币活期结算账户购买，包括（ ）	中	1	借记卡或活期存款账户	军保卡	退役金专用卡	武警军人保障卡
单选题	国债	关于电子式国债销户说法正确的是	易	2	销户后若有需要当日可重新开户	客户没有电子式国债余额，才可销户	客户持有的某债券到期3个工作日内不可销户	客户没有电子式国债余额时，系统自动销户
单选题	国债	国债收款凭证的支控方式不允许选择：	易	4	凭密码	凭证件	凭密码+证件	凭印鉴
单选题	国债	关于凭证式国债购买说法不正确的是	易	4	本业务实行免填单操作，若客户已填写《国债业务凭证》也可受理，但不作为受理的必需要件	客户及代理人有效身份证件。应进行联网核查	使用卡折购买时应初审借记卡或活期存折；使用现金购买时应当面卡把、清点现钞	交易完成后，《凭证式国债收款凭证》加盖业务专用章后与业务凭证第二联一并交客户
单选题	国债	凭证式国债兑付时，以下说法正确的是	易	1	可到期兑付也可提前兑付	提前兑付时只可全额兑付不可部分兑付	已关联了结算账户的国债到期自动兑付，只需将《凭证式国债收款凭证》交回银行	已关联结算账户凭证式国债提前兑付时，需提供关联结算账户和《凭证式国债收款凭证》
单选题	国债	关于电子式国债说法正确的是	中	3	指以电子方式记录债权的国债，不需银行账户	同一客户每次购买前需要先签约开户，且只能开一个账户	指以电子方式记录债权的国债，同一客户首次购买前需要先签约开户，且只能开一个账户（教材原话）	　　　不需签约开户，通过关联结算账户直接购买
单选题	国债	关于电子式国债购买说法正确的是	中	2	客户本人须持身份证办理	本业务实行免填单操作，允许代理	本业务实行免填单操作，不允许代理	需开立《凭证式国债收款凭证》
单选题	国债	以下关于代理凭证式国债业务说法错误的是（ )	易	4	凭证式国债购买可代理	凭证式国债兑付可代理（凭证件支取除外）	　　　凭证式国债变更关联结算账户可代理	凭证式国债解除关联账户可代理
单选题	国债	关于电子式国债兑付说法错误的是	难	3	提前兑付时需出示客户及代理人有效身份证件，应进行联网核查	未到期时，客户可到银行柜面申请提前兑付	提前兑付只可以全额兑付不可以部分兑付	提前兑付可以部分兑付且次数不限
单选题	国债	以下储蓄国债业务说法正确的是	难	1	处于部分冻结份额的，对未冻结部分可以兑付	未关联资金结算账户的凭证式国债兑付只可选择现金	未关联资金结算账户的凭证式国债兑付可选择转账（支持任一农行可通存账户或本网点的不可通存账户）	电子式国债自购买后可随时兑付
单选题	国债	客户持有国债查询交易说法错误的是	难	2	客户须出示有效身份证件	本交易不允许代理	使用卡、折查询的，显示在该卡、折下的储蓄国债，包括已关联到该卡、折的凭证式国债	已关联结算账户的凭证式国债不能通过收款凭证查询，只能按关联账户查询
单选题	国债	电子式国债过户说法正确的是	难	3	本业务不可实行免填单操作，客户须填写《国债业务凭证》	客户可以将持有的电子式国债直接过户给另一客户，可为过入客户开立《凭证式国债收款凭证》	客户可以将持有的电子式国债直接过户给另一客户，但过入客户应先签约开户	本业务只能由过出方申请，出示过出方和过入方的有效身份证件并进行联网核查
单选题	国债	以下电子式储蓄国债业务说法错误的是（ ）	难	4	更换资金结算账户只能在同客户号下的结算账户之间更换	　　　更新客户证件信息可代理	　　　解约销户可代理	重置语音查询密码可代理
单选题	国债	关于凭证部提换发说法正确的是	难	2	凭证部提换发是在某笔凭证式国债因司法冻结部分面额，导致原凭证式国债收款凭证失效时，须先办理部提换发，才能继续办理其他业务	凭证部提换发是在某笔凭证式国债因司法强制兑付部分面额，导致原凭证式国债收款凭证失效时，须先办理部提换发，才能继续办理其他业务	　　　凭证部提换发是在某笔凭证式国债因客户提前兑付部分面额，对剩余金额办理部提换发新凭证后继续有效	凭证部提换发新凭证时，可变更户名
单选题	国债	有权机关要求冻结凭证式国债时，可不提供	中	4	有权机关工作人员的工作证件（人民法院执法人员还应出示执行公务证）	有权机关县团级以上机构签发的协助冻结通知书（法律、行政法规规定应当由有权机关主要负责人签字的，应当由主要负责人签字）	　　　人民法院出具的冻结裁定书或其他有权机关出具的冻结证明文件	待冻结的《凭证式国债收款凭证》
单选题	基金业务	证券投资基金普通定投申购起点金额为()	易	2	50元(含)	100元(含)	200元(含)	500元(含)
单选题	基金业务	系统每次接受（）基金的定期定额申购申请	易	1	1只	 2只	3只	  多只
单选题	基金业务	证券投资基金普通定投申购可设定截止日期，截止日期与申请日间隔	中	3	应小于半年	应小于一年	应大于等于一年	应大于等于二年
单选题	基金业务	证券投资基金因客户账户内资金余额不足，导致系统连续（）个基金开放日扣款不成功，将记录客户违约一次；客户连续（）次违约，将自动终止该基金定投申购业务；如因非客户原因导致定期定额申购扣款失败，不记录违约。	易	1	3，3	2，3	3，5	1，3
单选题	基金业务	基金智能定投中标准投资额下限为人民币（）	中	3	100（含)	500（含）	 1000（含）	2000(含）
单选题	基金业务	基金智能定投上限为标准投资额的（）倍	中	3	3	5	10	20
单选题	基金业务	基金的《交割单》为客户交易的确认凭证，系统对《交割单》的保留期限为交易确认后（     ）年	易	2	 半	1	2	3
单选题	基金业务	以下基金签约说法错误的有	易	2	个人借记卡办理基金签约	"个人活期结算账户
办理基金签约"	"单位客户可通过基本、
专用、一般、临时
存款户等四种类型单
位结算账户办理基金签约  "	"单位卡不允许
办理基金签约"
单选题	基金业务	已签约货币基金理财（快溢宝）的账户不能再签约（  ）。	易	4	个贷自动提前还款	个人自助循环贷	存贷通　	以上均是
单选题	基金业务	基金管理合约信息可以变更的内容不包括	易	4	信息修改	更换结算账户	基金分红方式设置	证件类型和证件号码
单选题	基金业务	办理以下基金管理信息变更，客户身份证件为居民身份证的，不需联网核查的是：	易	3	信息修改	更换结算账户	基金分红方式设置	定投信息修改
单选题	基金业务	更换基金结算账号说法正确的是：	中	4	"单位卡可以更换为结算账户，
结算账户不能更换为单位卡。"	"　旧卡已销户时，更换结
算账户需三级主管授权。"	"更换结算账号交易一
经提交不得基金委托撤销"	以上说法均正确
单选题	国债	电子式国债信息变更的内容不包括：	易	4	更新客户证件信息	重置语音查询密码	　　　解约销户	关联结算账户
多选题	专业知识	“双利丰”个人通知存款可以办理以下哪种外币（    ）。	易	1234	新加坡元	日元	瑞士法郎	英镑
多选题	专业知识	2.客户可以通过以下哪种介质办理“双利丰”个人通知存款（    ）。	中	12	存单	借记卡	贷记卡	定期一本通
多选题	专业知识	.个人自动转账的转账周期分为（  ）。	中	1234	每日	每周	每月	月末
多选题	专业知识	自动转账签约账户如果出现以下情形时，则签约不成功（  ）。	中	1234	签约账户余额不足以缴纳签约费	挂失、销户	过期	转睡眠户
多选题	专业知识	个人自动转账业务功能包括（   ）。	易	1234	自动转账签约管理	自动转账管理端	自动转账公共管理	自动转账关系管理
多选题	专业知识	客户已签约“聪明账”增值账户，不能再办理（   ）。	难	13	“双利丰”个人通知存款自动转账	定利丰	天天理财	个人资金归集
多选题	专业知识	个人资金归集，批量归集的周期包括（  ）。	中	123	按日归集	按周归集	按月归集	按季归集
多选题	专业知识	个人资金归集，批量归集方式分为（    ）。	易	1234	全额归集	差额归集	全额取整归集	差额取整归集
多选题	专业知识	.BoEing投资理财业务系统交易端分为（    ）	易	234	管理端	柜面端	现金管理银企通平台	电子银行端
多选题	专业知识	个人客户签约理财产品时可以选择开通的渠道（       ）。	易	1234	柜面渠道	网银渠道、电话银行	掌上银行	自助设备
