试题类型	知识范畴	题干	试题难度	正确答案	答案			
单选题	专业知识	关于对客户申请信用的偿还期的要求表述正确的是（）。	易	1	申请信用的偿还期应在客户法定或登记的营业期限之内。	申请信用的偿还期不得超过客户法定或登记的营业期限后的三个月。	申请信用的偿还期不得超过客户法定或登记的营业期限后的六个月。	客户法定或登记的营业期限不得超过申请信用的偿还期
单选题	专业知识	关于办理银行承兑汇票业务客户身份识别，下列表述不正确的是（）	易	1	出票人是否在农业银行开立银行承兑汇票业务专用存款账户 。	通过有关部门了解担保人情况。	通过联网核查系统对客户有效身份证件进行核对。	通过有关部门了解借款人的实际控制人和借款的实际受益人的情况。
单选题	专业知识	下列关于申领金穗商务卡表述错误的是（）。	中	3	经工商行政管理机关或主管机关核准登记的企、事业法人可申领商务卡。	经法人授权的经济实体、分支机构可申领商务卡。	个人独资企业、合伙企业可申领商务卡。	不具备法人资格的经济组织不能申领商务卡
单选题	专业知识	办理特约商户，不需要审查下列（）资料。	难	4	营业执照等证明文件原件及复印件。	法定代表人有效身份证件原件及复印件。	税务登记证或相关纳税证明原件及复印件。	组织机构代码证原件及复印件。
单选题	专业知识	关于对注册电子银行的企业客户身份识别，下列说法错误的是（）。	中	1	核对客户是否在本市农业银行开立账户。	核对客户基本信息与营业执照、事业单位法人证书或组织机构代码证等内容是否一致。	核对注册账户账号、户名、账户性质等内容与业务系统以及开户行印鉴卡内容是否相符，账户预留印鉴与开户行印鉴卡印鉴是否相符。	通过联网核查系统对经办人以及企业网上银行管理员、操作员的有效身份证件进行查询核实，并将核查信息打印与身份证复印件一起装订。
单选题	专业知识	关于网上特约商户的身份识别，下列说法错误的是（）	难	3	核对客户是否在农业银行开立用于网上支付的结算账户	在因特网上是否具有电子商务平台，并能通过因特网与农业银行网上支付系统进行安全稳定的链接。	根据实际情况，采取信函、电话或实地调查商户，核查商户的经营证件，对商户的经营规模、运营状况、商品情况、技术水平进行调查了解，对商户信誉等作出综合评价。	通过联网核查系统对经办人以及网上特约商户操作员的有效身份证件进行查询核实，并将核查信息打印与身份证复印件一起装订。
单选题	专业知识	开立个人结算账户时，下列关于客户身份识别的规定，表述错误的是（）。	中	4	业务系统中客户身份信息不正确或不完整，可通过客户信息系统增加或修改该客户信息。	业务系统中客户身份信息正确齐全的，无需再建立该客户身份信息。	业务系统没有客户身份信息的，自动联动“增加个人基本信息”交易，完整输入该客户信息。	业务系统客户身份信息正确齐全的，不必再进行联网核查。
单选题	专业知识	下列关于申领金穗贷记卡个人卡客户提供质押担保的，下列说法错误的是（）	易	3	受理岗人员对申领人提交的质押权利凭证进行真实性、合法性核实	填写《质押凭证清单》	与申领人现场签订《委托书》、《质押合同》等法律文件	对第三方出质的，三方须现场签订相关法律文件，办理合规、合法、有效的质押手续。
单选题	专业知识	关于注册电子银行业务的个人客户身份识别，下列说法错误的是（） 	中	2	通过联网核查系统核对客户的有效身份证件。	核对客户是否在本省农业银行开立账户。	刷卡或刷存折，系统读取账户信息并核对相关信息的一致性	相关校验通过后，客户通过密码键盘输入账户支付密码，系统校验账户支付密码及磁道信息。
单选题	专业知识	下列应专夹保管的个人电子银行客户注册资料是（）。	中	4	《中国农业银行电子银行业务申请表（个人）》银行留存联	申请人身份证复印件	联网核查交易凭证	《中国农业银行电子银行服务协议（个人）》银行留存联
单选题	专业知识	设定客户自助交易取款单日累计金额不超过（）（含）元。	易	2	10000	20000	30000	50000
单选题	专业知识	对于犹豫期撤保在代理行进行的，如退还的保险费或者退还的保险单的现金价值金额为人民币（）（含)元以上或者外币等值（）(含)美元以上的，应确认申请人的身份是否与投保人一致。	易	1	1万、1000	2万、1000	1万、2000	2万、2000
单选题	专业知识	关于自然人客户申请办理租用保管箱业务的客户身份识别，下列说法错误的是（）	难	2	营业机构通过联网核查系统核对租用人和授权代理人有效身份证件。	租用人首次办理授权委托手续时，可以由代理人携带授权委托书及租用人有效身份证件原件到营业机构办理。	预留租用人和授权代理人有效身份证件复印件和约定的开箱身份识别方式	"租用人或授权代理人在日常业务时必须携带本人有效身份证件、保管箱钥匙,按约定开箱的身份识别方式,经柜员核对无误后方可办理。"
单选题	专业知识	对人民币单笔（）元以上现金存款业务，应当核对客户的有效身份证件或者其他身份证明文件 。	易	3	1万元（不含）	5万元（不含）	5万元（含）	10万元（含）
单选题	专业知识	对人民币单笔（）元以上现金取款业务，应当通过联网核查系统审核客户有效身份证件，必要时，审核其他身份证明文件。	易	1	5万元（含）	5万元（不含）	10万元（含）	10万元（不含）
单选题	专业知识	对外币当日累计等值（）美元以上现金存款业务，应核对客户有效身份证件，审核经海关签章的《中华人民共和国海关进境旅客行李物品申报单》或本人原存款银行外币现钞提取单据。	中	4	1000	2000	3000	5000
单选题	专业知识	对未在农业银行开立账户的客户提供人民币（）以上一次性现金汇款业务，应当通过联网核查系统核对客户有效身份证件	中	2	单笔金额5000元（含）以上或者外币等值500美元（含）以上一次性	单笔金额1万元（含）以上或者外币等值1000美元（含）以上一次性	单笔金额2万元（含）以上或者外币等值2000美元（含）以上一次性	单笔金额5万元（含）以上或者外币等值5000美元（含）以上一次性
单选题	专业知识	对外币当日累计等值（）美元以上现金取款业务，应通过联网核查系统审核客户有效身份证件，审核经外汇局签章的《提取外币现钞备案表》	中	3	5000（含）	5000（不含）	1万（含）	1万（不含）
单选题	专业知识	对未在农业银行开立账户的客户提供一次性票据兑付（含旅行支票）业务，且金额单笔人民币（）以上 ，应当通过联网核查系统核对客户的有效身份证件	中	2	5000元（含）	1万元（含）	1万元（不含）	2万元（含）
单选题	专业知识	对未在农业银行开立账户的客户提供一次性票据兑付（含旅行支票）业务，外币等值（）美元以上的，应当通过联网核查系统核对客户的有效身份证件	中	3	500美元（含）	1000美元（不含）	1000美元（含）	5000美元（含）
单选题	专业知识	关于对未在农业银行开立账户的客户提供一次性外币兑换业务且单笔等值1000（含）美元以上的，下列说法错误的是（）	易	4	应当核对客户有效身份证件，并留存复印件或者影印件	在交易凭证上登记客户的姓名、性别、国籍、住所地、联系方式	在交易凭证上登记客户的身份证件或者身份证明文件的种类、号码和有效期限	将有关信息汇总录入国家外汇管理局《个人结售汇管理信息系统》
单选题	专业知识	对客户外币兑换业务年度总额超过等值（）美元的，必须按《个人外汇管理办法实施细则》（汇发[2007]1号）中的有关规定执行。	难	3	1万美元	3万美元	5万美元	10万美元
单选题	专业知识	 关于跨境付汇业务登记客户信息，下列表述不正确的是（）	易	3	在外管局国际收支申报系统中登记《境外汇款申请书》或《对外付款/承兑通知书》的有关信息。	经办行根据《境外汇款申请书》或《对外付款/承兑通知书》要素在业务系统中录入有关信息。	如汇款人未在农业银行开立外汇账户，SWIFT报文50K域法人客户账号可以汇款人营业执照号码代替，个人客户可以身份证件号码代替。	如收款人地址不明确的，经办行必须在《境外汇款申请书》收款人地址栏中登记汇入行的所在地。
单选题	专业知识	客户办理西联收汇业务时，如汇款人身份ID信息缺失，经办行可登记（）代替。	易	4	汇款人住所地址	汇款人姓名	汇款人账号	西联监控号码
单选题	专业知识	网上银行高风险账户操作应至少包括向非本人（不含与农业银行签订业务合作等法律协议和客户预先约定的指定账户）账户转移资金单笔超过（）或日累计超过（）。	中	1	1000元、5000元	2000元、5000元	3000元、10000元	1000元、10000元
单选题	专业知识	下列关于客户身份证件核对的要求，表述错误的是（）。	易	3	对客户出示的身份证件记载的信息进行审核，信息包括：类型、号码、姓名、性别、住所、有效期限等。	客户提供的有效证件不是居民身份证，或者受理网点不具备居民身份核验的技术条件，经办人员可尽责核对。	同一柜员在同一天为同一客户办理多笔交易时，每笔交易都应进行联网核查。	留存客户身份证件复印件上应注明“与原件核对一致”并加盖经办人员名章。
多选题	专业知识	"各级行委托农业银行以外的第三方识别客户身份的,应当符合下列（）要求 "	难	124	能够证明第三方按反洗钱法律、行政法规和本操作规程的要求，采取了客户身份识别和身份资料保存的必要措施。	第三方为本行提供客户信息，不存在法律制度、技术等方面的障碍。	委托第三方代为履行识别客户身份的，被委托机构应当承担未履行客户身份识别义务的责任。（）	本行在办理业务时，能及时获得第三方提供的客户信息，还可在必要时从第三方获得客户的有效身份证件、身份证明文件的原件、复印件或者影印件。
多选题	专业知识	关于开立人民币基本存款账户的客户身份识别中，对应开立的账户名称与所提供的有关证明文件名称不一致的，需通过（）等发证机构查询核实，情况不属实的，不予受理。	难	13	工商行政管理部门	人民银行	税务部门	司法公安部门
多选题	专业知识	关于开立人民币基本存款账户的客户身份识别中，对需要了解控股股东或实际控制人身份的，可通过客户（）等部门核对。	易	23	联网核查系统	客户公司章程	工商行政管理部门	人民银行
多选题	专业知识	开立人民币基本存款账户的客户身份识别，关于登记客户身份基本信息下列说法正确的是（）	难	1234	对完成客户身份识别、符合规定的客户，在现金管理系统中完整登记客户身份基本信息。	授权财务人员办理的，须留存授权办理业务人员的身份证复印件和名章印鉴。	在预留印鉴卡的空白处登记授权办理业务人员的姓名、有效身份证件种类、号码、有效期限。	印鉴卡经多次登记无空白后可要求客户更换印鉴卡。
多选题	专业知识	关于开立注册验资户的审核包括（）	易	1234	审核企业名称预先核准通知书或有关部门的批文。	验资期间只收不付，注册验资资金的汇缴人与出资人的名称须一致。	通过联网核查系统核对注册验资出资人的身份证件。	公司正式成立取得营业执照、组织机构代码证、税务登记证等证明文件后，转基本存款账户并报人民银行审批。
多选题	专业知识	开立外汇还贷专户（国内外汇贷款专户除外），应当审查客户提交的（）及其他开户资料。	难	123	借款合同正本	外汇局核发的开户核准件	外债登记凭证	借款凭证
多选题	专业知识	对办理国际贸易融资业务客户身份识别的内容包括（）。	易	1234	客户信用等级和结算记录是否符合相关标准	是否在农业银行开立存款账户或结算账户	是否具有外贸进出口经营权	是否具有真实的贸易背景
多选题	专业知识	关于申领金穗借记卡（单位卡）的客户身份识别中，审核客户提供的相关证明材料应做到（）。	易	1234	客户提供的相关证明材料是否在有效期内	原件与复印件是否一致。	核对后须在复印件上加盖“经核对与原件一致”的章	核对后须在复印件上加盖经办人员名章。
多选题	专业知识	申领金穗借记卡（单位卡）应审核下列（）资料是否齐全，不符合规定的，应要求客户进行补充	难	1234	基本存款账户开户许可证原件及复印件	营业执照正本或副本等证明文件原件及复印件和组织机构代码证正本或副本原件及复印件。。	法定代表人或其委托代理人的有效身份证件原件及复印件和对持卡人的书面指定材料（必须加盖单位公章）。	持卡人有效身份证件原件及复印件。
多选题	专业知识	申领金穗贷记卡个人卡，受理岗对客户身份识别的内容包括（）	难	123	应仔细审核客户是否签订《中国农业银行金穗贷记卡领用合约（个人卡）》。	应审核申领人提供的相关证明材料是否在有效期内。	通过联网核查系统核对持卡人的有效身份证件，并打印联网查询交易凭证。	应通过人民银行个人征信系统打印相关征信报告。
多选题	专业知识	我行办理代理保险业务时，遇到下列（）项涉及的情况，须协助保险公司对客户身份进行识别。	难	124	对于保险费金额人民币1 万元含以上或者外币等值1000(含) 美元以上且以现金形式缴纳的财产保险合同	单个被保险人保险费金额人民币2 万元以上或者外币等值2000(含) 美元以上且以现金形式缴纳的人身保险合同	保险费金额人民币10万(含)元以上或者外币等值1 万(含)美元以上且以转账形式缴纳的保险合同。	保险费金额人民币20万(含)元以上或者外币等值2 万(含)美元以上且以转账形式缴纳的保险合同
多选题	专业知识	对外币当日累计等值5000美元以上现金存款业务，应核对客户有效身份证件，审核经海关签章的《中华人民共和国海关进境旅客行李物品申报单》或本人原存款银行外币现钞提取单据，审查有关证明文件是否真实、有效，并在相关单据上标注（）。	难	123	存款银行名称	存款金额	存款日期	存款人证件类型、证件号码
多选题	专业知识	跨境收汇业务如遇汇款人（）信息任何一项缺失的，经办行可先将收汇款项入账，再向境外机构要求补充信息，对方不予明确答复的，必须按可疑交易报告。	中	124	姓名	账号	联系电话	住所
多选题	专业知识	发汇方所在国家已加入金融行动特别工作组的跨境收汇业务如遇汇款人账号缺失，经办行可登记汇款人的（）代替。	难	23	住所地址	身份ID	汇款业务标识号	名称
多选题	专业知识	对于多次涉及到可疑交易报告的客户，营业机构应当了解其（）等信息，加强对金融交易活动的监测分析。	易	1234	资金来源	资金用途	经济状况	经营状况
多选题	专业知识	对于客户出现下列（）情形时，应当重新审查客户开户时提供的资料是否真实 。	难	1234	利用银行卡，频繁的进行大额境外消费。	个人账户资金来源以汇兑、卡卡转账、电子银行业务等不同方式由不同的城市汇入。	资金去向表现为集中取现，或利用现金本票等方式将资金划往同一城市不同的商业银行，账户日均余额较小。	账户交易存在较多的电子银行业务，且交易金额规避大额限定。
多选题	专业知识	单位因遗失需要变更预留银行签章，应审核客户提交的（）司法部门提供的证明等相关证明文件。	易	1234	书面申请	开户许可证	营业执照正本	原印鉴卡片
多选题	专业知识	下列外国现任的或者离职的履行重要公共职能的人员（）属于外国政要。	中	1234	国有企业高管	政党要员	高层政要	司法或者军事高级官员
多选题	专业知识	在办理个人外汇业务时，中国公民应当提供的身份证件包括（）	中	123	居民身份证	军人身份证件	武警身份证件	护照
