试题类型	知识范畴	题干	试题难度	正确答案	答案				
单选题	专业知识	机构客户人民币大额存单采用____方式发行，可在中国农业银行营业网点、电子渠道及经中国人民银行认可的其他渠道发行。	中	2	纸质	电子化	纸质或电子化	影像传输	
单选题	专业知识	经办行应妥善保存机构客户人民币大额存单产品协议书，____，以备查验。	中	2	专人保管	专夹保管	随当日传票装订	随当日报表装订	
单选题	专业知识	机构客户人民币大额存单属银行____金融产品。	中	2	贷款类	存款类	存款类或贷款类	表外类	
单选题	专业知识	机构客户人民币大额存单的发行利率以____方式确定。	中	4	总行定价	分行定价	根据客户需求	市场化	
单选题	专业知识	机构客户人民币大额存单的起存金额以产品协议书为准，并明确购买的____。	中	4	客户数量	递减金额	最高限额	递增金额	
单选题	专业知识	投资人在我行办理机构客户人民币大额存单业务时，需开立____购买机构客户人民币大额存单。	中	4	基本账户	一般账户	专用账户	指定账户	
单选题	专业知识	每期机构类客户大额存单采用____和命名，由产品发行机构根据需要自行设定。	中	3	任意有序编号	多个有序编号	唯一有序编号	无序编号	
单选题	专业知识	机构客户人民币大额存单定期付息方式需设定付息周期，付息周期____存单期限。	中	3	小于或等于	等于	小于	大于	
单选题	专业知识	投资人在机构客户人民币大额存单产品到期后未办理销户，资金仍然在指定账户上所产生的利息属于____。	中	1	逾期利息	到期利息	定期利息	分期利息	
单选题	专业知识	总行产品与营销管理部门根据业务发展需要与市场竞争情况，按照总行统筹管理部门公布的指导价格，择机发行产品，确定发行产品的各项要素，提交总行业务支持部门。上述属于____产品的办理流程。	中	2	定制型	常规型	总行型	分行型	
单选题	专业知识	对机构客户人民币大额存单定制型产品，总行产品与营销管理部门根据可发售产品信息，形成产品协议书和发售函，并发送至____，实施产品发售，同时负责大额存单系统管理端产品额度的划拨。	中	2	各一级分行	申请分行	指定分行	各二级分行	
单选题	专业知识	经营行办理机构客户人民币大额存单业务时要严格审核投资人身份的真实性和____，确保提供的各项材料齐全、真实、有效。经营行在对投资人开户资料核查完备后，由投资人填写《对公大额存单开户（变更）申请书》，进行开户。	中	4	安全性	准确性	有效性	合法性	
单选题	专业知识	对于单位法定代表人或负责人不能前往，或按管理制度无法提供申请材料原件办理机构客户人民币大额存单业务的单位，____以上客户部门应以“了解你的客户”和“谁营销、谁审核、谁负责”为原则，指定双人上门对存款人开户申请资料及意愿的真实性、完整性和合规性进行核实，并填写《机构客户人民币大额存单重要信息调查核实表》，签署核实意见，核实经办人双人签名并加盖客户部门公章。	中	3	二级分行（含）	一级支行（不含）	一级支行（含）	营业网点（含）	
单选题	专业知识	机构客户人民币大额存单业务在会计上单独设立____进行管理核算，在统计上单独设立统计指标进行反映。	中	2	账号	科目	产品线	产品组	
单选题	专业知识	存款人申请撤销银行结算账户，按重要空白凭证管理规定核对存款人缴回的重要空白凭证。对客户签发在外的支票，必须等该支票划回或____后才能办理销户手续。	中	1	超过付款期限	登报作废	提交遗失声明书	提交遗失报案证明	
单选题	专业知识	存款人开通银企通平台，不涉及授权关系设置的，由____设置。	中	4	一级分行	二级分行	一级支行	营业网点	
单选题	专业知识	客户申请删除已注册银企通平台账户，应先删除集团内汇兑关系、汇兑账户贷方控制、____，外币账户还需先删除已补充登记的外币账户信息。	中	3	授权关系	复核关系	代收代付签约账户	集团内汇兑账户	
单选题	专业知识	对于当日及隔日已录入确认的现金通存通兑业务，若柜员操作有误，严禁____抹账或冲正。	中	2	账户行	交易行	对账行	管辖行	
单选题	专业知识	对已记入多级账簿的当日金融性错账，经运营主管审批后，柜员可按相关规定作____处理。	中	1	抹账	冲正	撤销	挂账	
单选题	专业知识	对已记入多级账簿的本年度内交易日之前所发生的金融性错账，经运营主管审批后，柜员可按相关规定作____处理。	中	2	抹账	冲正	撤销	挂账	
单选题	专业知识	对于柜员登记的批量收费，如尚未成功扣收，经主管授权，可删除收费记录；已成功扣收的，经主管授权，柜员从相应____冲出相应金额，冲回客户的付费账户。	中	1	损益账户	清算账户	过渡账户	表外账户	
单选题	专业知识	尊享版套餐以____为亮点，为客户提供现金管理服务产品组合，主要面向有现金管理需求的优质对公客户群体。	中	1	银企通平台	企业网银行服务	个性化定制服务	账户服务	
单选题	专业知识	对公人民币结算套餐由____进行设置，包括结算套餐的名称、类型、收费项目、执行价格和销售期等要素。	易	2	总行	一级分行	二级分行	县支行	
单选题	专业知识	同一个结算账户可签约____结算套餐。	易	4	1款	2款	3款	多款	
单选题	专业知识	已签约单位结算套餐的客户要求在套餐正常到期之前解约的，应先填写结算套餐解约申请书（多联）并加盖____，选择结算套餐解约交易，对已签约的账户进行提前解约。	难	2	单位公章	预留银行印鉴	单位财务章	单位公章加法人章	
单选题	专业知识	结算套餐到期自动续约清单____，营业机构可以在报表交易菜单中选择打印“结算套餐到期自动续约清单”。	难	3	每月月初	每月月未	每日营业开始后	每日营业开始前	
单选题	专业知识	个体工商户凭营业执照以字号或经营者姓名开立的银行结算账户存款纳入____管理。	易	2	个人存款	单位存款	储蓄存款	其他存款	
单选题	专业知识	单位定期存款的起存金额为____万元。	易	1	1	5	10	20	
单选题	专业知识	单位定期存款可以全部或部分提前支取，但只能提前支取____次。	难	1	1	2	3	无数次	
单选题	专业知识	单位通知存款按存款单位通知的期限分为____通知存款。	易	1	1天和7天	1天和5天	3天和7天	5天和10天	
单选题	专业知识	单位通知存款的最低起存金额为____万元，最低支取金额为____万元。	中	2	20，5	50，10	30，5	60，10	
单选题	专业知识	单位存入款项时不约定存期，支取日无需提前通知的存款是____	难	4	单位通知存款	单位协议存款	单位定期存款	单位活期存款	
单选题	专业知识	存款单位办理单位协定存款，须和开户行签订____。	中	2	结算账户管理协议	中国农业银行单位协定存款协议	支付密码器协议	对账协议	
单选题	专业知识	单位协定存款协议期满，如存款单位或开户行书面提出终止或修改协议，开户行将协定存款账户存款本息结清后全部转入____。	难	3	协议存款户	通知存款户	结算户	定期存款户	
单选题	专业知识	"邮政储蓄协议存款最低起存金额为____,存期为____（不含）以上。"	中	2	1000万元，1年	3000万元，3年	3000万元，5年	1000万元，5年	
单选题	专业知识	存款单位可就同一账户内容申请开具____单位存款证明书，农业银行对每份证明书按有关规定收取手续费。	难	4	1份	10份	20份	多份	
单选题	专业知识	单位定期存款部分提前支取的，提前支取部分按支取日总行规定的____存款利率计息。	难	4	3个月	6个月	1年	活期	
单选题	专业知识	单位活期存款结息日为____。	易	3	每月20日	每月30日	每季末月20日	每季末月30日	
单选题	专业知识	存款单位申请办理单位定期存款，开户行审核相关证明文件并收妥票款后，为存款单位开具____。	中	3	单位活期存单	单位定期存单	单位定期存款证实书	定期一本通折	
单选题	专业知识	单位支取定期存款须采取____方式。	中	2	现金	转账	网银	电话银行	
单选题	专业知识	单位定期存款部分提前支取后，留存部分不足起存金额的则____。	易	4	续存	无规定	另开新存单	清户	
单选题	专业知识	单位通知存款在到期日前，取款人可取消通知，并将原____交回。	中	4	单位定期存款证实书	单位定期存单	单位活期存单	通知存款取款通知单	
单选题	专业知识	协定存款协议的期限最长不超过____年。	易	1	1	2	3	5	
单选题	专业知识	保险公司和社会保障基金协议存期为____年（不含）以上。	中	3	1	3	5	8	
单选题	专业知识	存款单位办理协议存款须由其____签订《协议存款合同书》。	中	1	总公司与总行	总公司与省分行	分公司与省分行	分公司与市分行	
单选题	专业知识	每个通知存款账户每天只能建立____个通知。	易	1	一	二	三	无数	
单选题	专业知识	对公人民币结算套餐业务交易渠道不包括____。	中	2	柜面	电话银行	现金管理专线客户端	现金管理公网客户端	
单选题	专业知识	对于期限档次与居民储蓄整存整取定期存款的期限档次不一致的单位定期存款，需报____批准后方可办理。	易	1	总行	省分行	市分行	支行	
单选题	专业知识	单位客户如需以定期存款质押，需提供____作为质押的权力凭证。	易	3	单位定期存款证实书	定期一本通	单位定期存单	存折	
单选题	专业知识	阳光公司于5月6日存入200万的单位通知存款，如需在8月10日支取，应在____通知开户行，方可按七天通知存款利率支付利息。	中	3	5月6日	5月13日	8月3日	8月10日	
单选题	专业知识	阳光公司于5月6日存入200万的单位通知存款，如需部分支取，最低支取金额为____万元。	易	2	5	10	20	50	
单选题	专业知识	阳光公司支取50万通知存款，未提前通知开户行，此50万按____利率计息。	中	3	1天通知存款	7天通知存款	活期存款	定期存款	
单选题	专业知识	单位协定存款按照中国人民银行公布的协定存款利率计息，遇利率调整____计息。	难	1	分段	按签订协议日利率	按支取日利率	定期利率	
单选题	专业知识	A公司在我行存有50万美元单位定期存款，可开具相应的____存款证明书。	易	2	人民币	美元	欧元	英镑	
单选题	专业知识	粮食局下乡收购粮、棉、油的收购资金，为方便管理可以开立____账户。	易	3	基本账户	一般账户	专用账户	验资户	
单选题	专业知识	B公司更换法定代表人，按规定应于____个工作日内向开户银行提出结算账户变更申请。	难	2	3	5	7	10	
单选题	专业知识	社会团体开立基本存款账户，应向银行出具____作为证明文件。	难	1	社会团体登记证书	营业执照正本	非企业证明	编制委员会的批文	
单选题	专业知识	B公司在某支行开立了一般账户，该账户的使用范围____。	难	4	可以提取现金	可以转账也可取现	只可转账	可以收现，也可转账	
单选题	专业知识	单位结算账户资料变更，需____主管授权。	易	3	一级	二级	三级	九级	
单选题	专业知识	存款单位可以直接提取现金的账户为____。	易	1	基本存款账户	单位通知存款	单位定期存单	一般结算账户	
单选题	专业知识	单位通知存款支取金额超过通知金额的，通知部分按通知存款相应利率计息，超过部分（支取金额减去通知金额）按____利率计息。	难	2	定期粗款	活期存款	通知存款	通知存款6折	
单选题	专业知识	为在我行办理境内自营个人信贷业务的申请人提供担保的组织向我行交存的保证金，担保方可为信用担保机构、市场管理方、商户或由商户组成的联合担保体、其他法人、其他组织等。以下哪项属于上述文字表述的定义____	易	1	个人信贷业务单位保证金	个人信贷业务个人保证金	其他单位保证金	其他个人保证金	
单选题	专业知识	保证金账户的存款人预留印鉴仅作为____依据。	易	4	保证金存入	保证金退还	保证金支付	对账	
单选题	专业知识	活期、整存整取、协定保证金的利率按我行公布的____执行，执行优惠利率的，按我行优惠利率管理规定申请报批。	易	1	同期同档次存款利率	同期同档次存款上浮20%	同期同档次贷款利率	同期同档次贷款利率上浮20%	
单选题	专业知识	定期保证金账户允许部提____次。	中	1	一	二	三	无数	
单选题	专业知识	____保证金账户可以续存。	中	3	整存整取	外币非标准期限	活期	协定	
单选题	专业知识	保证金账户开户过程中，须审核整存整取的转存标识与利息入账方式是否匹配，若转存标识为自动本金转存的，则利息入账方式必须为____。	中	3	入本账户	现金支取	入指定结算账户	入出资人银行卡	
单选题	专业知识	保证金活期账户允许零金额开户；整存整取的起点金额为等值____万元人民币，其中个人信贷业务个人保证金、其他个人保证金整存整取的起点金额为等值____元人民币；	难	2	1、10	1、50	10、10	10、50	
单选题	专业知识	只有活期____保证金账户可以维护协定标识。	易	1	活期	整存整取	外币非标准期限	协定	
单选题	专业知识	保证金孳生息，按法定或当事人约定计入保证金账户或____。	易	1	出资人结算账户	单位结算账户	个人结算账户	内部账户	
单选题	专业知识	“保证金账户计息信息维护”交易和“保证金账户协定存款维护”交易需要先进行____处理。	易	4	22400保证金账户基本信息维护	22402保证金账户计息信息维护	22403保证金账户协定存款维护	22205保证金清息	
单选题	专业知识	保证金账户开户成功后____启用。	易	3	三个工作日后	五个工作日后	立即	次日	
单选题	专业知识	外币非标准期限的保证金账户的起点金额为等值____万美元。	难	3	100	200	300	500	
单选题	专业知识	当定期保证金支付后的余额不足____时，必须进行销户交易。	易	4	1万元	5万元	10万元	起存金额	
单选题	专业知识	保证金合同账户无____时才能销户。	难	2	追加账户	凭证账户	结算账户	协定存款账户	
单选题	专业知识	单位结算卡开卡交易必须在关联账户的____办理。	易	3	账户行	经办行	开户行	主办行	
单选题	专业知识	客户同时可以开立____单位结算卡。	易	4	1张	5张	10张	多张	
单选题	专业知识	当单位结算卡安全认证方式为____时，才可做单位结算卡电子凭证管理交易，其他安全认证方式报错。	中	2	手机安全认证码	电子支付密码	K令认证	K宝认证	
单选题	专业知识	单位结算卡挂失解挂不输密码时需要____授权。	易	1	3+0	2+0	1+0	无需授权	
单选题	专业知识	单位结算卡现金取款业务可以他人代为办理，但需要提供____和代办人的身份证原件。	中	4	法定代表人	经办人	被授权人	持卡人	
单选题	专业知识	办理单位结算卡无卡存款时，要求客户填写____。	中	1	个人业务凭证	现金缴款单	个人结算业务申请书	无需填写	
单选题	专业知识	单位结算卡换卡须审核单位结算卡持卡人信息是否和系统内维护信息一致，企业经办人是否为____。	中	4	法定代表人	被授权人	代理人	持卡人本人	
单选题	专业知识	单位结算卡书面挂失可以在____网点办理。	中	2	全国任意网点	开卡行	开户行	地市分行	
单选题	专业知识	以下____不能开立单位结算卡。	中	4	基本存款账户	一般存款账户	专用存款账户	注册验资户	
单选题	专业知识	单位结算卡开卡业务申请表上法定代表人/负责人（签字）____。	难	3	只能签字	只能盖章	可以是签字或签章	签字并盖章	
单选题	专业知识	客户同时开立多张单位结算卡时，如持卡人相同，可在申请表中注明张数；如持卡人不同，可附加盖单位公章和预留印鉴的清单，清单上应注明各持卡人身份证件种类及号码，并分别由____签字。	难	4	法定代表人	经办人	被授权人	各持卡人	
单选题	专业知识	单位结算卡持卡人信息变更时，需要提供____持卡人有效身份证件原件。	难	3	新	旧	新、旧	以上3项均不对	
单选题	专业知识	单位结算卡客户连续输错密码____次的，卡密码为锁定状态。	易	2	一	三	五	六	
单选题	专业知识	商业银行等金融机构需要在收到《询证函》之日起____个工作日内，根据函证的具体要求，及时回函。	易	4	3	5	8	10	
单选题	专业知识	柜员登记《柜面重要事项登记簿》，登记银行《询证函》的受理日期、单位名称、账号、业务种类、处理日期、对应的收费传票号码等内容，并由____确认。	易	4	经办柜员	运营主管	网点负责人	经办柜员和运营主管	
单选题	专业知识	营业机构受理银行《询证函》业务时，被审计单位必须在银行《询证函》上加盖____	易	2	单位财务章	预留银行印鉴	单位法人章	单位公章	
单选题	专业知识	银行《询证函》由审计单位在营业柜台现场提交的，须提供____	易	4	审计单位经办人员身份证件	审计单位出具的介绍信	审计单位经办人员的工作证件	审计单位经办人员身份证件、审计单位出具的介绍信	
单选题	专业知识	营业机构必须由前台当班柜员受理银行《询证函》业务，并经____审核确认。	中	2	经办柜员	运营主管	客户经理	网点负责人	
单选题	专业知识	银行办理《询证函》业务时可以以____形式收取询证费用。	中	4	在客户可动用账户扣收	被审计单位汇款交付或现金交付	审计单位汇款交付或现金交付	以上都可	
单选题	专业知识	银行《询证函》中需要询证的数据必须明确具体，符合结算凭证填写的基本规定，没有填写内容的空格要____。	中	3	注明空白	留空不做处理	斜线划去	打叉处理	
单选题	专业知识	办理企业银行借款余额询证业务时，需以____形式与上级行管户的客户部门进行核实。	难	3	电话核实	邮件核实	《询证函》原件上报	《询证函》复印件上报	
单选题	专业知识	询证业务办理结束后，经办网点需复印一份银行《询证函》留存备查（若为多联式的《询证函》则保留其中一联），由____签章。	难	4	经办柜员	运营主管	网点负责人	经办柜员和运营主管	
单选题	专业知识	客户余额以我行BoEing系统企业账户截止至银行《询证函》所询证的存借款余额日期的日终余额为依据（我行托管的非法人产品成立验资除外），金额精确至____。	难	4	十位	个位	角位	分位	
单选题	专业知识	是BoEing系统总体三大目标之一。	易	3	以帐户信息为中心	以产品合约为中心	以客户为中心	以交易信息为中心	
单选题	专业知识	不属于对公客户扩展信息的是。	中	3	名称信息	上市信息	关系信息	行业信息	
单选题	专业知识	对公外部服务标识查询（11407）交易成功后屏幕显示客户相关信息不包括。	难	2	合约号	组织机构代码	可售产品名称	货币代码	
单选题	专业知识	有关通存通兑业务处理规定的说法，下列错误的是：。	易	1	录入员负责原始凭证审查和按照凭证内容录入相关业务信息，是办理通存通兑业务的第一责任人；确认员负责票据审查、现金收付和业务信息确认。	“谁办理，谁负责”。通存通兑业务必须严格遵循“谁办理，谁负责”的原则。	双人操作。办理通存通兑业务必须经两个柜员共同完成。	有偿服务。办理通存通兑业务，交易行应按有关规定，向委托人收取相关费用。	
单选题	专业知识	以下关于账户冲正交易的说法，错误的是：。	难	3	在冲正账务同时，系统自动调整账户计息积数。	"一笔冲正交易只能调整一个分户及其明细，系统自动用网点操作账户作账务处理。为了保证网点操作账户的余额足够，柜员必须按照“先处理贷方红
字或借方蓝字业务，再处理借方红字或贷方蓝字业务”的顺序做冲正交易。"	当账户余额不足时，对于银行原因造成的串户或金额错误的入账，如账户有足够的透支额度，可进行冲正。	当冲正账户为资金池或实归资金归集的下级账户时，系统将自动同时调整其上级账户账务，但不调整或冲减已登记的收费明细。	
单选题	专业知识	关于账户交易明细补充交易，下列说法错误的是：。	难	2	该交易必须由原交易行提交方才有效。	此类信息为备注类信息，需进行农行账号规则校验，	账户间转账、跨所内转确认两个交易不得修改交易信息。	该交易开户网点的普通柜员可操作，产生传票号，需三级主管授权，交易成功后不能抹账。	
单选题	专业知识	办理通存通兑交易行应依据合法、有效的原始凭证，及时为存款人办理通存通兑业务，对通存通兑业务的负责。	中	2	真实性、合规定和完整性。	真实性、准确性和完整性。	有效性、准确性和合规性。	有效性、准确性和合理性。	
单选题	专业知识	"某企业办理结算套餐，收费方式为按笔包月（累进），
（1）汇兑总笔数包含【000，100】区间的，该档总共收取￥150。
（2）汇兑总笔数包含【101，200】区间的，该档总共收取￥120。
（3）汇兑总笔数包含【201，max】区间的，该档每笔收取￥1.1。
以201202收费周期（2012.01.25-2012.02.24），如果账户当月共汇兑201笔，那么应该收取多少手续费。"	难	1	271.1	270	336	272	
单选题	专业知识	对公收费周期设定：	易	4	上月20日到本月19日	本月1日到本月月末	上月21日到本月20日	上月25日到本月24日	
单选题	专业知识	21435交易账户收费费率维护，新增交易，非必输项的是：	中	4	账号	收费种类代码	交易渠道	附言	
单选题	专业知识	"21433交易,账户结算套餐维护，选择“签约”交易时，需要"	易	3	1+0授权	2+0授权	3+0授权	9+0授权	
单选题	专业知识	对公业务按金额收费的，其费率为交易金额的%，如费率表中为0.2表示。	中	2	按金额的2%计费	按金额的0.2%计费	每笔按0.2元计费	每笔按20元计费	
单选题	专业知识	系统根据不同的冻结原因设置不同的优先级进行对账户的扣划，有权机关冻结、、投资冻结类为最优等级，互相之间不以进行强制扣划。	难	3	欠款冻结	错账冻结	质押冻结	其他原因冻结	
单选题	专业知识	"单位通知存款起存金额为，可以实现多次部提，且每笔部分提取金额不得低于,支取后账户留存金额必须满足起存金额"	中	1	"人民币50万元整（含）,人民币10万元整（含）"	"人民币50万元整（含）,人民币5万元整（含）"	"人民币100万元整（含）,人民币10万元整（含）"	"人民币100万元整（含）,人民币5万元整（含）"	
单选题	专业知识	对公非活期存款存单/证实书互换不支持。	难	1	单位通知存款	单位定期存款	协议存款存款	合作性同业存款	
单选题	专业知识	某非活期账户本金50万，A有权机关冻结10万，B有权机关冻结20万，质押冻结15万，错账冻结2万，欠款冻结2万，其他原因冻结1万，此时如果是A有权机关进行强制扣划，则最大扣划金额为。	难	2	10万	15万	30万	50万	
单选题	专业知识	"对公帐户增加,修改,删除帐户使用身份服务时,应向开户银行提交申请.一个结算帐户最多可以设置个使用身份。"	难	2	3	5	10	15	
单选题	专业知识	下列关于汇兑群组服务说法错误的是。	难	2	为集团企业或供应链中上下游企业提供的一项汇兑优惠服务。	一个结算账户可加入多个汇兑群组。	同一企业客户多个结算账户建立汇兑群组关系后群组内办理汇兑业务可享受低费率优惠。	不同企业客户结算账户建立汇兑群组关系后群组内办理汇兑业务可享受低费率优惠。	
单选题	专业知识	账户使用者在遗忘账户使用身份密码后，可以凭开通时留存的身份证件进行重置，营业机构能重置的账户使用身份密码。	中	1	本机构	同一地市内任一机构	全国任一机构	以上答案均正确	
单选题	专业知识	对公结算账户融资理财约定转存所产生的账户是以形式存在。	易	3	活期结算账户	子账户	活期结算账户+子账户	多级账簿	
单选题	专业知识	透支额度管理方式分为。	易	4	分散管理、集中管理	集中管理、集中分散管理	分散管理、集中分散管理	分散管理、集中管理、集中分散管理	
单选题	专业知识	约定单位通知存款账户的设定起存金额为，约定单位定期存款账户的设定起存金额为。	易	1	50万，1万	20万，1万	50万，5万	20万，5万	
单选题	专业知识	多级账簿号最多为位。	易	4	5	7	9	10	
单选题	专业知识	不定期限额起始日期设置时必须当前会计日期，不定期终止日期。	难	2	大于、小于	大于等于、小于等于	小于、大于	大于等于、等于	
单选题	专业知识	多级账簿支取方式有。	中	2	总收总支、统收定支、限额定支。	统收统支、以收定支、超额定支。	总收总支、以收定支、超额限支。	统收统支、统收定支、超额定支。	
单选题	专业知识	账簿级别在增加多级账簿时，由系统根据上级账簿序号判断级别，自动生成本级账簿级别，多级账簿最多可开级。	易	4	三	五	八	十	
单选题	专业知识	"
虚拟资金池账户汇总清单主要反映同一产品号下，所有子账户借方发生额、贷方发生额和账户余额的汇总变化情况。"	易	4	每季度	每月	每周	每日	
单选题	专业知识	平等资金池利息再分配表为平等资金池的专用报表，登记平等资金池因委托贷款而产生的利息再分配情况，由系统于每季验日自动生成	易	2	19	20	21	30	
单选题	专业知识	"柜台资金划拨、委托贷款余额核销、资金归集余额调整业务由客户提交申请，客户部门进行审核后出具,由柜面进行维护。"	中	1	《现金管理业务工作通知单》	《现金管理归集资金划拨申请表》	《现金管理委托贷款余额核销申请表》	《现金管理归集余额调整申请表》	
单选题	专业知识	资金归集关系冻结解冻业务由提交申请，客户部门进行审核后由柜面进行维护，客户需要提交的资料有《现金管理资金归集关系冻结解冻申请表》，制度规定的其他资料。	中	2	客户部门	客户	法院	客户经理	
单选题	专业知识	批量归集的周期中的指定日期归集包括。	中	4	工作日归集、月末归集、隔日归集	工作日归集、月末归集、每周归集	工作日归集、每周归集、每月指定日期归集	工作日归集、月末归集、隔日归集、每周归集、每月指定日期归集	
单选题	专业知识	归集关系预约生效日期在设置当日起日内选择。	中	3	三	五	七	十	
单选题	专业知识	备付金非活期存款账户必须在原账户所在机构开立，且到期后应原路返回。在合作行通过备付金收付账户开立的该类账户，期限不得超过个月	易	2	6个月	12个月	24个月	36个月	
单选题	专业知识	客户开通银企通平台，网点审核资料的完整性与合规性后，还需要核对相符。	中	4	营业执照	法人身份证原件	经办人身份证原件	印鉴与银行预留印鉴	
单选题	专业知识	中国农业银行现金管理银企通开销情况表按打印。	中	1	月	季	年	天	
单选题	专业知识	客户凭客户号开通银企通，同一客户号可开通银企通，并使用生成的银企通编号作为其唯一标识。	难	4	一个	三个	五个	多个	
单选题	专业知识	司法冻结单位或个人存款的期限最长为，期满后可以续冻。	易	2	6个月	一年	两年	永久	
单选题	专业知识	有权执法机关扣划款项时，有权机关要求提取现金或转入其他账户的，受理机构应。	易	2	积极协助	不予协助	问清情况后可以协助	电话证实后可以协助	
多选题	专业知识	公司客户人民币大额存单按照付息方式和利率浮动组合可分为以下____方式。	中	1234	固定利率、到期还本付息的大额存单	固定利率、定期付息的大额存单	浮动利率、到期还本付息的大额存单	"浮动利率、定期付息的大额存单
"	
多选题	专业知识	我行发行公司客户人民币大额存单产品分为____和____两大类产品。	中	23	普通型	定制型	常规型	高端型	
多选题	专业知识	在我行开立____账户的法人客户可申请办理公司客户人民币大额存单。	中	1234	基本户	一般户	专用户	临时户	
多选题	专业知识	关于公司客户人民币大额存单业务，以下哪几项属于总行产品管理与营销部门负责的工作____。	难	1234	负责制定和实施公司客户大额存单产品营销和管理的发展规划和相关制度，考核及管理公司客户大额存单业务相关指标	协助总行资产负债管理部完成全行公司客户大额存单业务战略规划与年度产品发行计划，负责研究制定公司客户大额存单业务发展战略与年度销售计划。	开展公司客户大额存单业务市场需求调研，负责公司客户大额存单产品研发和设计。具体负责产品的设计发行、定价、发行排期、营销推广，负责实施分行的发行管理及发行额度控制等。	审查分行公司客户大额存单业务的发行和销售的资格，制定业务授权内容。	
多选题	专业知识	机构客户人民币大额存单的投资人包括以下哪些类型____。	难	1234	事业单位	机关团体	部队武警	保险公司	
多选题	专业知识	机构客户人民币大额存单的产品期限包括____。	难	124	1个月	6个月	10个月	2年	
多选题	专业知识	总行机构业务部是机构客户人民币大额存单的产品与营销管理部门，主要负责以下工作____。	难	1234	制定机构客户人民币大额存单的各项制度，指导分行开展产品营销推广工作。	分配条线机构客户人民币大额存单发行额度，制定年度发展战略、销售计划及分行定价授权方案，协助总行统筹管理部门制定全行机构客户人民币大额存单业务发行计划。	负责机构客户人民币大额存单产品研发和设计	开展机构客户人民币大额存单业务市场需求调研。	
多选题	专业知识	机构客户人民币大额存单销户或部提时，需提供以下资料____。	难	123	存款证实书（若有开立），并加盖预留印鉴。	经授权的经办人合法有效身份证件原件及复印件。	填写《对公大额存单销户（部提）申请书》，加盖预留印鉴。	单位公章、法人名章及预留银行印鉴	
多选题	专业知识	以下哪几项属于机构客户人民币大额存单的产品种类。____	难	1234	事业单位	学校	社保基金	机关团体	
多选题	专业知识	机构客户人民币大额存单自购买之日起计息，付息方式分为哪几种____。	难	13	到期还本付息	利随本清	定期付息	等本递减	
多选题	专业知识	机构客户人民币大额存单自购买之日起计息，按利率是否浮动分为____。	难	23	分段利率	浮动利率	固定利率	协定利率	
