试题类型	知识范畴	题干	试题难度	正确答案	答案																																																																																																																																																																																																																																																							
判断题	公共基础	银行本票次日发现误结清、退款、超期付款银行本票或兑付系统内银行本票的，应联系出票申请人，收回误签发的银行本票做未用退回或重新签发。 	难	-1																																																																																																																																																																																																																																																								
判断题	公共基础	经审核有误的银行汇票，代理付款行应拒绝受理并出具拒绝受理通知书，连同银行汇票一并退交出票人。	中	-1																																																																																																																																																																																																																																																								
判断题	公共基础	提出贷方票据应遵循“转账业务，先借后贷”原则，即先扣收客户款项，再做提出票据处理	难	1																																																																																																																																																																																																																																																								
判断题	公共基础	票据提入收包时，应检查提入票据专用袋的完整性，清点提入票据专用袋总数是否正确，核对无误后办理交接手续	难	1																																																																																																																																																																																																																																																								
判断题	公共基础	2010版票据小写金额栏分隔线均为虚线	难	1																																																																																																																																																																																																																																																								
判断题	专业知识	个体工商户凭营业执照以字号或经营者姓名开立的银行结算账户不纳入单位银行结算账户管理。(    )	易	-1																																																																																																																																																																																																																																																								
判断题	专业知识	无字号的个体工商户开立银行结算账户的名称应与其营业执照记载的经营者姓名一致。(    )	易	-1																																																																																																																																																																																																																																																								
判断题	专业知识	财政预算外资金、证券交易结算资金、期货交易保证金和信托基金专用存款账户不得支取现金。(    )	中	1																																																																																																																																																																																																																																																								
判断题	专业知识	建筑施工及安装单位企业在异地同时承建多个项目的，可根据建筑施工及安装合同开立不超过项目合同个数的临时存款账户。(    )	易	1																																																																																																																																																																																																																																																								
判断题	专业知识	合格境外机构投资者在境内从事证券投资开立的人民币结算资金账户应出具证券管理部门的证券投资业务许可证，无须出具基本存款账户开户许可证。(    )	难	1																																																																																																																																																																																																																																																								
判断题	专业知识	未获得工商行政管理部门核准登记的单位，在验资期满后，应向银行申请撤销注册验资临时存款账户，其账户资金应退还给原汇款人账户。注册验资资金以现金方式存入，出资人需提取现金的，只需出具缴存现金时的现金缴款单原件。（    ）	难	-1																																																																																																																																																																																																																																																								
判断题	专业知识	预留银行签章中公章或财务专用章的名称依法可使用简称的，账户名称应与其保持一致。（    ）	中	1																																																																																																																																																																																																																																																								
判断题	专业知识	因收入汇缴资金和业务支出资金开立的专用存款账户，应使用隶属单位的名称。（    ）	中	1																																																																																																																																																																																																																																																								
判断题	专业知识	机关和实行预算管理的事业单位出具的政府人事部门或编制委员会的批文或登记证书上，有两个或两个以上名称的，可以分别开立基本存款账户。（    ）	难	1																																																																																																																																																																																																																																																								
判断题	专业知识	单位银行卡账户不得办理现金收付业务。（    ）	易	1																																																																																																																																																																																																																																																								
判断题	专业知识	收入汇缴资金和业务支出资金，是指基本存款账户存款人附属的独立核算单位或派出机构发生的收入和支出的资金。（    ）	难	-1																																																																																																																																																																																																																																																								
判断题	专业知识	《人民币银行结算账户管理办法》和《人民币银行结算账户管理办法实施细则》所称“注册地”是指存款人的营业执照等开户证明文件上记载的住所地。（    ）	易	1																																																																																																																																																																																																																																																								
判断题	公共基础	账户启用日期指为符合人民银行对存款人开立单位银行结算账户实行生效日制度的规定，设置的账户可办理对外支付的日期。	易	1																																																																																																																																																																																																																																																								
判断题	公共基础	网内往来业务遵循“谁发出、谁负责”的原则。	易	1																																																																																																																																																																																																																																																								
判断题	公共基础	年终决算日无需完成全部往来账及查询查复业务处理。	难	-1																																																																																																																																																																																																																																																								
判断题	公共基础	往账业务清单、来账业务清单，反映营业机构当日发生及上日未转入历史数据库的往来账明细。	易	1																																																																																																																																																																																																																																																								
判断题	公共基础	往账业务采用“录入、确认”单人操作模式。	易	-1																																																																																																																																																																																																																																																								
判断题	公共基础	网内往来业务接收行发现差错，应向发起行发出查询，并根据发起行的查复内容代为更正或退回。	易	1																																																																																																																																																																																																																																																								
判断题	公共基础	中国农业银行第二代支付系统是核心银行系统的子系统，是处理跨行支付清算业务的系统，包括大额支付系统和小额支付系统。	易	1																																																																																																																																																																																																																																																								
判断题	公共基础	小额支付实时业务采用双人录入模式，一笔业务指令由两个柜员录入和发出。	易	-1																																																																																																																																																																																																																																																								
判断题	公共基础	对支票截留业务的查询，查复行应在收到查询信息的当日至迟下一个工作日上午11:00予以查复。 	中	-1																																																																																																																																																																																																																																																								
判断题	公共基础	小额支付普通贷记和定期贷记业务可以超过中国人民银行规定的金额上限。	易	-1																																																																																																																																																																																																																																																								
判断题	公共基础	往账业务的确认可以在当日营业结束前后完成。	难	-1																																																																																																																																																																																																																																																								
判断题	公共基础	支票影像信息一经影像交换系统发出，不得更改或撤销。对发出有误的支票影像信息，提出行可以通过影像交换系统向人民银行申请止付	难	-1																																																																																																																																																																																																																																																								
判断题	公共基础	影像支票提示付款期届满但提出行却未在规定时间内收到支票业务回执的，不得将实物支票退还持票人	难	-1																																																																																																																																																																																																																																																								
判断题	公共基础	影像支票提出行在规定时间内未收到支票业务回执的，应主动向提入行发出查询	易	1																																																																																																																																																																																																																																																								
判断题	公共基础	小额支付系统停运不影响影像交换系统的正常运行	易	1																																																																																																																																																																																																																																																								
判断题	公共基础	持票人账户已依法冻结的，出票人开户银行收到支票影像信息可拒绝付款	难	-1																																																																																																																																																																																																																																																								
判断题	专业知识	系统自动核验未通过的，验印操作员可通过电子验印系统采取折角比对等多种人工辅助方式进行核验。通过人工辅助方式核验的，需换人复核，并在实物凭证上双人签章。	中	1																																																																																																																																																																																																																																																								
判断题	专业知识	电子验印系统印鉴库数据及图像信息不得随意下载、导出和打印。	易	1																																																																																																																																																																																																																																																								
判断题	专业知识	当存款人要求使用非本系统发行的支付密码器时，营业机构应在电子支付密码系统中登记密码器编号。	中	1																																																																																																																																																																																																																																																								
判断题	专业知识	如电子支付密码已为注销状态，则该支付密码器不能重新启用，同时，该密码器在本系统将不能再使用。	易	1																																																																																																																																																																																																																																																								
判断题	专业知识	停用或注销的支付密码器，停用或注销日前该支付密码器签发的支票在其有效期内有效；从停用或注销之日起，该支付密码器签发的全部凭证一律无效。	中	1																																																																																																																																																																																																																																																								
判断题	专业知识	出票人签发支付密码错误的支票，营业机构应予退票，并按退票有关规定进行处理。对屡次签发错误支付密码支票的，营业机构对客户提出警告，但不得停止其支付密码器的使用。	难	-1																																																																																																																																																																																																																																																								
判断题	专业知识	存款人办理销户，除按原规定出具相关证明文件外，还必须申请将该账户在所有已加载的支付密码器中删除。	易	1																																																																																																																																																																																																																																																								
判断题	专业知识	处理电子支付密码业务的相关资料及证明文件，营业机构应将其纳入会计档案管理，与存款人开销户资料一并妥善保管。	中	1																																																																																																																																																																																																																																																								
判断题	专业知识	空白支付密码器纳入重要空白凭证管理，营业机构应严格按照重要空白凭证管理规定，逐份销号使用。	中	1																																																																																																																																																																																																																																																								
判断题	专业知识	实时扣税业务是指签订三方协议后，由征收机关发起批量扣税信息，TIPS进行批量转发，纳税人开户行予以扣款，并将扣款结果回执通过TIPS实时返回征收机关。	中	-1																																																																																																																																																																																																																																																								
判断题	专业知识	TIPS对账原则上以TIPS账务数据为准，出现账务不平时，以TIPS为准进行账务调整。	中	1																																																																																																																																																																																																																																																								
判断题	专业知识	批量扣税业务必须签订征收机关、纳税人、纳税人开户行三方协议，但实时扣税业务可以不签三方协议。	易	-1																																																																																																																																																																																																																																																								
判断题	专业知识	国库信息处理系统中，未经验证和已撤销的委托缴款三方协议需要删除时，柜员可通过“修改/删除委托缴款三方协议”交易删除协议。	易	1																																																																																																																																																																																																																																																								
判断题	专业知识	批量扣税业务是指签订三方协议后，征收机关将批量扣税信息通过TIPS转发，纳税人开户行予以扣款，并将扣款结果回执通过TIPS返回征收机关。	易	1																																																																																																																																																																																																																																																								
判断题	公共基础	征收机关扣税异常业务明细表，反映当日与TIPS对账失败且需要手工调账的实时扣税和批量扣税的业务明细，是营业机构进行异常处理和账务调整的依据。	中	-1																																																																																																																																																																																																																																																								
判断题	专业知识	三方协议验证失败清单，反映营业机构当日收到征收机关发起的三方协议验证请求，经系统验证失败的明细信息。	易	1																																																																																																																																																																																																																																																								
判断题	公共基础	银行端缴税业务清单，反映营业机构上一日发生的银行端缴税成功的业务明细。	中	-1																																																																																																																																																																																																																																																								
判断题	公共基础	国库信息处理系统中，批量扣税业务清单反映的是营业机构当日发生的征收机关批量扣税成功的业务明细。	易	1																																																																																																																																																																																																																																																								
判断题	公共基础	漫游汇款是指汇款人委托汇出行将款项汇出、收款人可任意选择兑付行支取的人民币汇兑业务。	中	1																																																																																																																																																																																																																																																								
判断题	公共基础	结算印章仅限保管人本人使用，临时离岗，应由他人暂时保管。午休时，结算印章要装箱加锁入库或入保险柜（箱）保管。结算印章不得携带外出。	易	-1																																																																																																																																																																																																																																																								
判断题	公共基础	验印完成后需要授权的，柜员应按照远程授权相关要求，提交完整资料申请远程授权。对大额资金划转凭证，授权主管应审核换人验印情况，签章不全的视为未换人复核，退回网点重新处理后再申请授权。	难	1																																																																																																																																																																																																																																																								
判断题	公共基础	由柜员保管、使用的办讫章、受理凭证章、结算业务印章只能用于柜员本人办理的交易业务（存单仍使用业务专用章）；非交易用印一律使用业务专用章。	难	1																																																																																																																																																																																																																																																								
判断题	公共基础	鉴于营业机构行政公章已上收的事实，各级行业务部门可要求营业机构在上报材料、信用卡申请表等资料上使用临柜业务印章	难	-1																																																																																																																																																																																																																																																								
单选题	公共基础	票据付款人或者代理付款人收到挂失止付通知书，应当立即暂停支付。付款人或者代理付款人自收到挂失止付通知书之日起（    ）日内没有收到人民法院的止付通知书的，自第（    ）日起，挂失止付通知书失效。	易	3	10，11	11，12	12，13	30，31																																																																																																																																																																																																																																																				
单选题	专业知识	关于票据丧失时的法律救济方式，下列哪一说法是错误的？ （    ）	易	4	通知票据付款人挂失止付	申请法院公示催告	向法院提起诉讼	不经挂失止付不能申请公示催告或者提起诉讼																																																																																																																																																																																																																																																				
单选题	公共基础	我行电子商业汇票系统（贸易通）中填写我行承兑票据出票申请信息时，“承兑人账号”和“承兑人开户行行号”应分别填写：（  ）	易	3	贸易通资金划拨中间户、大额支付系统行号	“0”、  贸易通资金划拨中间户	“0”、大额支付系统行号	大额支付系统行号、“0”																																																																																																																																																																																																																																																				
单选题	公共基础	电子商业汇票出票人成功撤票后（未用退回），票据状态修改为：（  ）	易	2	票据已撤销	票据已作废	票据已退回	票据已失效																																																																																																																																																																																																																																																				
单选题	专业知识	电子商业汇票的付款期限自出票日起至到期日止，期限为（  ）	易	2	1年	最长不得超过1年	6个月	最长不得超过6个月																																																																																																																																																																																																																																																				
单选题	专业知识	票据质权人以质押票据再行背书质押或者背书转让，（  ）	易	3	可以适用善意取得	背书行为有效	背书行为无效	票据无效																																																																																																																																																																																																																																																				
单选题	专业知识	见票即付的汇票、本票的票据权利在下列期限内不行使而消灭，（    ）	易	3	自票据到期日起二年	自出票日起六个月	自出票日起二年	自票据到期日起六个月																																																																																																																																																																																																																																																				
单选题	公共基础	在纸质商业汇票系统办理非托管商业汇票质押的，按（    ）的流程依次处理。	易	3	登记、入库、质押	质押、入库、登记	登记、质押、入库	入库、质押、登记																																																																																																																																																																																																																																																				
单选题	专业知识	可以依法无偿取得票据，不受给付对价的限制的情形不包括（    ）	易	3	税收取得	继承取得	欺诈取得	 赠与取得																																																																																																																																																																																																																																																				
单选题	专业知识	没有更改的权利而变更票据上除签章以外的其他记载事项的，是()	易	2	票据的伪造	票据的变造	票据的涂销	票据的更改																																																																																																																																																																																																																																																				
单选题	公共基础	签发空头支票或者签发与其预留的签章不符的支票，不以骗取财物为目的的，由中国人民银行处以（  ）的罚款。	易	3	票面金额10%但不低于1000元	票面金额5%但不低于500元	票面金额5%但不低于1000元	票面金额3%但不低于1000元																																																																																																																																																																																																																																																				
单选题	公共基础	发出的纸质银行承兑汇票委托收款获付款的，由经办行操作员按（  ）的流程处理。	易	3	先销记、后收款	直接收款即可	先收款、后销记	直接销记即可																																																																																																																																																																																																																																																				
单选题	专业知识	持票人对前手的追索权，自被拒绝承兑或者被拒绝付款之日起（  ）。	易	3	三个月	两年	六个月	一年																																																																																																																																																																																																																																																				
单选题	专业知识	关于支票使用，以下说法正确的是（  ）。	易	2	转账支票既可以转账也可以支取现金	现金支票只能用于支取现金	现金支票既可以转账也可以支取现金	现金支票可以进行转账																																																																																																																																																																																																																																																				
单选题	公共基础	下列付款方式中，适用于电子商业汇票的付款方式是（  ）。	易	3	见票即付	见票后定期付款	定日付款	出票后定期付款																																																																																																																																																																																																																																																				
单选题	公共基础	按照规定可以背书转让的票据持有人，因票据被盗、遗失或者灭失，可以向（  ）申请公示催告。	易	4	票据持票人所在地基层人民法院	票据持票人所在地中级人民法院	票据支付地的中级人民法院	票据支付地的基层人民法院																																																																																																																																																																																																																																																				
单选题	公共基础	下列方法中，（  ）是我国《票据法》未予认可的票据权利救济方法	易	2	公示催告	声明作废	挂失止付	提起诉讼																																																																																																																																																																																																																																																				
单选题	公共基础	关于票据金额格式，以下书写不正确的是（  ）	易	4	￥1，409. 50，写成：人民币壹仟肆佰零玖元伍角	￥6，007.14，写成：人民币陆仟零柒元壹角肆分	￥107，000.53，写成：人民币壹拾万柒仟元零伍角叁分	￥16，409.02，写成：人民币壹万陆仟肆佰零玖元贰分																																																																																																																																																																																																																																																				
单选题	公共基础	关于票据出票日期格式，以下书写不正确的是（  ）。	易	2	零壹拾月零贰拾日	零壹月拾伍日	叁月壹拾伍日	伍月贰拾壹日																																																																																																																																																																																																																																																				
单选题	公共基础	持票人对前手的再追索权，自清偿日或者被提起诉讼之日起（    ）。	易	1	三个月	两年	六个月	一年																																																																																																																																																																																																																																																				
单选题	公共基础	关于不得享有票据权利的情形，以下说法错误的是 （    ）。	中	3	以欺诈手段取得票据	明知前手以盗窃票据，仍低价取得票据	明知前手无偿取得票据，仍接受背书转让	以胁迫手段取得票据的																																																																																																																																																																																																																																																				
单选题	公共基础	票据背书附有条件的，（    ）。	中	2	所附条件无效，背书行为无效	所附条件无效，背书行为有效	所附条件有效，背书行为无效	所附条件有效，背书行为有效																																																																																																																																																																																																																																																				
单选题	公共基础	定日付款、出票后定期付款或者见票后定期付款的汇票，自到期日起（    ）内向承兑人提示付款。	中	4	1年	6个月	1个月	10日																																																																																																																																																																																																																																																				
单选题	公共基础	见票即付的汇票，自出票日起（    ）内向付款人提示付款。	中	3	1年	6个月	1个月	10日																																																																																																																																																																																																																																																				
单选题	公共基础	电子银行承兑汇票由（    ）承兑。	中	2	银行业金融机构、个体工商户	银行业金融机构、财务公司	银行业金融机构、事业单位	财务公司、合伙企业																																																																																																																																																																																																																																																				
单选题	公共基础	贴现、转贴现和再贴现按照交易方式，分为（    ）。	中	3	贴入式和贴出式	买断式和卖断式	买断式和回购式	卖断式和贴出式																																																																																																																																																																																																																																																				
单选题	公共基础	下列不可进行背书转让的情形不包括（    ）。	中	4	汇票被拒绝承兑	汇票被拒绝付款	票据超过付款提示期限	背书栏填写“验货支付”字样																																																																																																																																																																																																																																																				
单选题	公共基础	签发现金银行汇票，（    ）。	中	4	申请人可以为企业也可以是个人	收款人必须为企业	申请人和收款人必须均为企业	申请人和收款人必须均为个人																																																																																																																																																																																																																																																				
单选题	公共基础	票据背书可以使用统一格式的粘单，（    ）应当在票据和粘单的粘接处签章。	中	1	粘单上的第一记载人 	票据背面的最后记载人	票据背面的最后一手背书人	粘单上的第一被背书人																																																																																																																																																																																																																																																				
单选题	公共基础	关于票据签章效力，以下说法不正确的是（    ）。	中	3	票据上有伪造、变造的签章的，不影响票据上其他真实签章的效力。	票据上签章以外记载事项被变造的，在变造之前签章的人，对原记载事项负责。 	票据上签章以外记载事项被变造的，不能辨别是在票据被变造之前或者之后签章的，视同在变造之后签章。  	票据上签章以外记载事项被变造的，在变造之后签章的人，对变造之后的记载事项负责。																																																																																																																																																																																																																																																				
