试题类型	知识范畴	题干	试题难度	正确答案	答案					
单选题	专业知识	下列不属于有价单证的是	易	4	 国库券	企业债券	定额存单	保险单		
单选题	专业知识	关于有价单证的销毁，下列说法错误的是（）。	中	4	有价单证集中由二级分行及以上库房管理部门负责销毁	销毁前，必须填制“有价单证和重要空白凭证销毁清单”，由分管行长签署意见，报一级分行批准后，登记“重要空白凭证、有价单证及其它有价值品保管使用登记簿”，办理出库	销毁时，应由业务主管部门、运营管理部门、库房管理部门和保卫部门共同负责监销	销毁后，填制“有价单证和重要空白凭证销毁表”，记载销毁情况。销毁表及销毁清单作会计档案保管15年。		
单选题	专业知识	办理重要空白凭证库房间调拨业务时，调入行管库员不需要进行（）操作。	易	4	根据凭证出入库单记载内容，清点调入的重要空白凭证实物	实物清点无误后，登记“重要空白凭证、有价单证及其它有价值品保管使用登记簿”	在凭证出入库单上签章，办理凭证入库手续	依据凭证出入库清单，及时进行账务处理		
单选题	专业知识	关于重要空白凭证调拨和领用应遵循的原则，下列说法错误的是（）。	中	4	重要空白凭证调拨业务必须遵循“根据指令，见单调拨”的原则	调出凭证应遵循“先记账，后出库”原则	调入凭证应遵循“先入库，后记账”原则	库房人员管理应遵循“不相容岗位相分离”原则		
单选题	专业知识	在出售重要空白凭证时，柜员错误的做法是（）。	易	3	全面审查客户提交的各项资料	按要求进行账务处理	监督客户在凭证上填写开户行全称和开户人账户	提示客户按类别逐项清点份数		
单选题	专业知识	客户撤销账户，柜员处理重空收回业务时，存在不当做法是（）。	中	3	柜员根据客户交回的“未使用重要空白凭证清单”所列凭证的数量、号码与交回的重要空白凭证实物逐一清点核对	柜员将收回的重要空白凭证实物应与系统中该客户账号下“未使用的重要空白凭证清单”进行核对	对于客户遗失的重要空白凭证，柜员应要求客户登报声明后再进行相关账务处理	柜员对收回的重要空白凭证应剪角并加盖“作废”戳记，作当日传票附件		
单选题	专业知识	（）以上单位，原则上应设置独立的重要空白凭证库。	易	2	分理处（含）	县支行（含）	二级分行（含）	一级分行		
单选题	专业知识	( )不允许进入重要空白凭证库。	难	2	管库人员	管辖行运营部经理	符合手续的检查人员	权属证书保管人员		
单选题	专业知识	关于重要空白凭证的销毁，下列说法正确的是（）。	难	2	本行重要空白凭证集中由重空库房负责销毁	销毁前，必须填制“有价单证和重要空白凭证销毁清单”，由分管行长签署意见，报上级行批准后，登记“重要空白凭证、有价单证及其它有价值品保管使用登记簿”，办理出库。	销毁时，应由内控合规部门、运营管理部门、库房管理部门和保卫部门共同负责监销。	销毁后，填制“有价单证和重要空白凭证销毁表”，记载销毁情况。销毁表及销毁清单作会计档案保管15年。		
单选题	专业知识	关于检查监督柜员及网点保管的重要空白凭证的频次，下列说法错误的是（）。	易	3	柜员日终前自行对所保管重要空白凭证进行账实相符检查	运营主管或运营主管授权人对柜员和网点领用的重要空白凭证每周至少进行一次账实相符检查	网点负责人每月至少进行一次检查。检查包括：核对柜员重要空白凭证账实是否相符，网点凭证领、发、存手续完整合规情况等	主管行长对网点保管的重要空白凭证应进行定期或不定期的检查		
单选题	专业知识	关于重要空白凭证库房的检查监督频次，下列说法错误的是（）。	中	4	管库员至少每月对重要空白凭证进行一次盘库	库房主管至少每季对重要空白凭证进行一次盘库	本级库房管理部门负责人至少每半年对所管辖库房进行一次检查	主管行长每年对所管辖库房进行一次检查		
多选题	专业知识	有价单证和重要空白凭证管理的原则是（）。	中	1234	统一设计印制	严格保管配送	定期检查监管	分工协作配合		
多选题	专业知识	下列属于有价单证的是（）。	易	124	定额存单	旅行支票	存折	国库券		
多选题	专业知识	以下有权根据业务需要，按照相关规章制度、会计核算以及视觉识别系统要求设计农业银行有价单证和重要空白凭证样式的部门是（）。	难	13	总行业务主管部门 	总行运营管理部门	一级分行业务主管部门	一级分行运营管理部门		
多选题	专业知识	关于有价单证的核算，下列说法正确的是（）。	中	134	有价单证一律纳入表外科目核算	有价单证按每张1元记账	各级管理行及营业机构应设立“未发行有价证券”科目，用以核算有价单证领入、发出及结存情况	各级行管理行及营业机构应设立“已兑付有价证券”科目，用以核算已兑付及待销毁有价单证		
多选题	专业知识	正在使用中的重要空白凭证符合下列（）之一即可由业务主管部门提请不再纳入重要空白凭证管理。	中	123	凭证所涉及业务已到期或终止	因业务需要须进行凭证版式变更，原凭证作废	因重要性或监管部门的要求降低，运营管理部门及业务主管部门认定凭证不再作为重要空白凭证管理	因业务系统不再支持该凭证收、发、存、用的自动核算		
多选题	专业知识	关于柜员重要空白凭证的领取业务处理，下列说法正确的是（）。	易	124	柜员向凭证保管员提出申请并经主管审批后方可领取重要空白凭证	柜员领取重要空白凭证后应在记账凭证上签章确认	柜员要及时在“重要空白凭证、有价单证及其它有价值品保管使用登记簿”上登记所领取的重要空白凭证	柜员应根据重要空白凭证实际需求量和保管条件确定重要空白凭证的领取数量		
多选题	专业知识	关于重要空白凭证作废业务的办理，下列说法错误的是（）。	易	24	作废重要空白凭证时，必须将重要空白凭证剪角并加盖“作废”戳记	要将作废的重要空白凭证在“重要空白凭证、有价单证及其它有价值品保管使用登记簿”上进行登记	已作废的重要空白凭证要作当日传票附件	作废凭证要单独专夹保管		
多选题	专业知识	如需要将重要空白凭证作为教学、技术比赛等用具，应该怎样进行处理（）。	难	1234	应由主办部门提供所需重要空白凭证的种类、数量清单	经主办部门主管行长对清单进行批准后，由运营管理部门办理领用手续	出库时应在凭证明显处加盖“作废”戳记	用后，由库房管理部门指定专人清点，换人复核后，集中处理		
多选题	专业知识	关于重要空白凭证的使用，下列说法正确的是（）。	中	134	不得事先在重要空白凭证上加盖业务印章或经办人名章。	属于银行签发的重要空白凭证，严禁由客户签发；属于客户签发的重要空白凭证，银行代为签发。	"签发重要空白凭证时，如填写错误，应作废重填，作废时必须剪角并加盖“作废”戳记，需手工销号的在“重要空白凭证、有价单证及其它有价值品保管使用登记簿”上注明作废的日期、凭证号码，在备注栏注明作废字样，作废的凭证作当日传票附件。
"	"如需要将重要空白凭证作为教学、技术比赛等用具，应由主办部门提供所需重要空白凭证的种类、数量清单，经主办部门主管行长批准后，由运营管理部门办理领用手续。出库时应在凭证明显处加盖“作废”戳记。用后，由库房管理部门指定专人清点，换人复核后，集中处理。
"		
多选题	专业知识	关于重要空白凭证的业务核算，下列说法正确的是（）。	中	234	各级管理行及营业机构设立“重要空白凭证”表外科目，用于核算重要空白凭证及代理重要空白凭证的收入、发出和结存情况。	重要空白凭证一律纳入表外科目核算，假定价格一份一元记账。应真实、准确地反映重要空白凭证的收、发、存情况。	记账员在发生重要空白凭证收、付时在系统内进行相应账务处理	如需手工核算的还应在“重要空白凭证、有价单证及其它有价值品保管使用登记簿”上登记		
多选题	专业知识	关于重要空白凭证库房的建设标准，下列表述错误的是（）。	中	14	库房内应安装视频监控设备，回放图像应能清晰显示人员库内活动的全过程和库内所有存放物品，视频图像资料保存时间应不少于45天	库房内应按照《消防法》有关规定，配备消防设施	库房的窗户应有防护措施，如金属防护栏、防护网等	重要空白凭证库库门应采用不低于防盗安全门的标准，门上至少安装一个门控，并坚持“平行交接、双人分管分用原则”		
多选题	专业知识	对于配备独立保险柜的库房代为保管权属证书下列说法错误的是（）。	难	234	配备独立保险柜的库房，应使用保险柜单独保管权属证书，并在保险柜上进行明显标识，不得与重要空白凭证混摆。	保险柜钥匙由业务主管部门权属证书管理人员和库房管理员共同保管使用	 库房对权属证书的完整性、安全性负责。	业务主管部门和库房管理部门双方共同对存放的权属证书数量负责		
多选题	专业知识	关于重要空白凭证的停用和上缴，下列说法正确的是（）	难	1234	业务主管部门应定期检查所属的业务产品，如有符合退出标准的重要空白凭证应及时做退出处理	业务管理部门在下达该业务停办通知的同时，应向运营管理部门提出凭证的停用和上缴处理申请。	运营管理部门核准后，向营业机构发出停用和上缴通知。	各营业机构接到运营管理部门发出停用上缴通知后，将凭证停用并逐级上缴至指定库房。		
多选题	专业知识	本级行重要空白凭证库房管理部门负责人对所管辖的重空库房进行检查时，要检查（）。	难	1234	库房重要空白凭证账实是否相符	库房凭证领、发、存手续是否完整合规	库房对上级行的相关规章制度的执行是否到位	库房设备的使用是否得当、维护是否及时		
多选题	专业知识	在重要空白凭证业务检查中，发现重要空白凭证账实不符，应该（）。	中	12	立即追查原因并报告主管行长和上级行库房管理部门	情节严重的应按规定向公安机关报案。	对事故直接责任人按照相关规定进行处罚	及时采取补救措施消除易造成的不良影响		
多选题	专业知识	关于重要空白凭证检查要求，下列说法正确的是（）	难	123	 各级检查不得合并进行。	柜员自行检查在相关报告表上签章，其他检查均应在“查库登记簿”上进行登记。	已拆包的重要空白凭证应逐份清点。	重要空白凭证库管辖行保卫部门至少每半年对所属库房进行一次安全保卫检查。		
单选题	专业知识	总行《关于调整柜员保管空白存单数量的通知》要求，已经实施了存单影像系统、临柜智能控制系统等技术手段控制存单使用的营业机构，可进一步放宽空白存单领用数量，但一般每种不超过（）份。	易	2	25	50	75	100		
单选题	专业知识	管理行入库本行重空，需记账员首先操作“61515重空凭证调拨申请”，事件类型选择“11-系统外领用”，打印“调拨单”下列说法正确的是（）	难	1	由管库员在VMS系统中重要空白凭证模块下做“重空出（入）库录入”和“重空出（入）库复核”。	由记账员在VMS系统中重要空白凭证模块下做“重空出（入）库录入”和“重空出（入）库复核”。	由录入员在VMS系统中重要空白凭证模块下做“重空出（入）库录入”和“重空出（入）库复核”。	由复核员在VMS系统中重要空白凭证模块下做“重空出（入）库录入”和“重空出（入）库复核”。		
单选题	专业知识	网点从管理行调入本行重空，需要网点操作（）交易，打印“调拨单”。	易	1	61515	61701	61702	61704		
单选题	专业知识	当柜员需要将选号箱的重要空白凭证转入本人重要空白凭证箱时，使用（）交易。	易	3	61711	61712	61713	61714		
单选题	专业知识	柜员凭证箱中凭证内部作废，后续处理操作错误的是（）	难	3	存折作废时除剪角外还需破坏存折磁条。	银行卡作废时，柜员还需另行填制业务凭证，注明“银行卡作废”字样、表外账户的账号、户名、卡种、卡号等要素。	选择“61714 凭证内部处理”交易将银行卡废卡纳入“代保管有价值品”科目下开立“作废卡”账户进行核算处理。	作废的银行卡，必须破坏磁条、芯片，专夹保管，定期销毁。		
多选题	专业知识	网点凭证调拨入库授权时，授权主管需审核以下要点（）	中	124	审核凭证入库交易录入信息与“库房配送调拨单”内容是否一致	审核“库房配送调拨单”是否经网点收妥重空的人员签章。	审核交易录入信息与“调拨单”内容是否一致	采用远程授权时，授权中心授权主管还需审核“库房配送调拨单”是否经运营主管签章。		
多选题	专业知识	交接本行重要空白凭证箱时，接收柜员凭证箱说法正确的是（）	中	24	交接本行重要空白凭证箱中某类凭证时，接收柜员凭证箱该类凭证应有接收的空段，即至少备用段为空，凭证接收数量不能大于100份	交接单张售出支票类凭证箱中凭证时，按凭证种类交接，且接收柜员该类凭证可用数必须为0；	交接可选号凭证箱中某类凭证时，交接后柜员该类凭证总量不能大于50份；	接收柜员柜员箱此种凭证号段数加上调入的号段数应小于等于柜员凭证箱容纳此种凭证号段数总和。	答案错误	
多选题	专业知识	 （）重要空白凭证可用“61708凭证手工销号”交易进行手工销号处理。	难	124	银行承兑汇票	商业承兑汇票	旅行支票	人行支付专用凭证		
多选题	专业知识	重要空白凭证销毁有以下（）部门共同负责监销	易	1234	运营管理部门	业务主管部门	库房管理部门	保卫部门		
判断题	专业知识	对于管理行本行重空和自动记表外账的代理凭证，当该凭证首次入库时，需要手工为其开立表外核算账户。	难	-1	 	 	 	 		
判断题	专业知识	入单张售出支票凭证箱的凭证，如果未用完而不再使用的，需要及时转回重要空白凭证箱。	易	-1		 				
单选题	专业知识	柜员重要空白凭证箱，可领入所有类型重要空白凭证，同类凭证只允许领入（）段。	易	2	1	2	3	4		
判断题	专业知识	 日终凭证清点，如果代理凭证无实物凭证，不必打印清点传票	易	-1						
判断题	专业知识	柜员为其他用户领入重要空白凭证时，该用户必须为临时签退状态。	易	-1						
判断题	专业知识	各级人民银行负责现金管理的具体执行，对开户单位的现金收支、使用进行监督管理。	中	-1						
判断题	专业知识	一个单位在几家银行开户的，最多允许在两家银行开设现金结算户，支取现金。	中	-1						
判断题	专业知识	 转账结算凭证在经济往来中，具有同现金相同的支付能力。（）	易	1						
判断题	专业知识	人民银行所得的各项罚没款项应在剔除必要的费用后，上缴国库。（ ）	难	-1						
判断题	专业知识	各开户银行要建立健全现金管理制度，配备专职人员，改进工作作风，改善服务设施，方便开户单位。现金管理工作所需经费应当由所在地人民银行拨付。（  ）	难	-1						
多选题	专业知识	开户单位之间的经济往来，必须通过银行进行转账结算。根据国家有关规定，开户单位只可在下列（）范围内使用现金	易	1234	职工工资、各种工资性津贴	个人劳务报酬，包括稿费和讲课费及其他专门工作报酬	收购单位向个人收购农副产品和其他物资支付的价款	支付给个人的各种奖金，包括根据国家规定颁发给个人的各种科学技术、文化艺术、体育等各种奖金		
多选题	专业知识	下列（）情况开户银行有权责令其停止违法活动，并根据情节轻重给予警告或罚款。 	难	1234	单位之间互相借用现金	现金结算给予比转账结算优惠待遇	用转账凭证套取现金	只收现金拒收支票、银行汇票、本票		
判断题	专业知识	伪造的货币是指仿照真币的图案、形状、色彩，并利用挖补、揭层、涂改、拼凑、移位、重印等多种方法制作，使其改变形态的假币。	难	-1						
判断题	专业知识	金融机构收缴的假币，每季末解缴中国人民银行当地分支行，由中国人民银行统一销毁，任何部门不得自行处理。	易	1						
判断题	专业知识	金融机构在收缴假币过程中属于利用新的造假手段制造假币的;应当立即报告当地人民银行，提供有关线索	难	-1						
单选题	专业知识	下列（ ）不是《中国人民银行假币收缴、鉴定管理办法》所指的货币存取款和外币兑换机构。	易	4	邮政储蓄银行	浦东发展银行	中国农业银行	国家开发银行		
单选题	专业知识	《中国人民银行假币收缴、鉴定管理办法》所称假币是指 (  )和 (  )的货币。	易	2	机制、复印	伪造、变造	机制、伪造	伪造、复印		
单选题	专业知识	金融机构在收缴假币时对（），应当面加盖“假币”字样的戳记。	难	1	假人民币纸币	假外币纸币	假币收缴凭证	货币真伪鉴定书		
单选题	专业知识	一次性发现假人民币 (  )张（枚）（含）以上，应当立即报告当地公安机关，提供有关线索。	易	3	10	15	20	25		
单选题	专业知识	一次性发现假外币 (  )张（含）以上的，应当立即报告当地公安机关，提供有关线索。	中	1	10	15	20	25		
单选题	专业知识	办理假币收缴业务的人员，应当取得（）	中	3	员工岗位资格证书	假币鉴定资格证书	反假货币上岗资格证书	出纳上岗证书		
单选题	专业知识	金融机构应对收缴的假币实物进行单独管理，并建立 (  )登记簿。	易	4	重要空白凭证、有价单证登记簿	重要物品保管登记簿	现金库存登记簿	假币收缴代保管登记簿		
单选题	专业知识	持有人对被收缴货币的真伪有异议，可以自收缴之日起（）个工作日内，持《假币收缴凭证》向中国人民银行当地分支机构或中国人民银行授权的当地鉴定机构提出书面鉴定申请。	易	2	1	3	5	7		
单选题	专业知识	假币收缴单位应当自收到鉴定单位通知之日起（）个工作日内，将需要鉴定的货币送货鉴定单位。	中	2	1	2	3	4		
单选题	专业知识	《中国人民银行假币收缴、鉴定管理办法》于2003年 (  )月 (  )日起施行。	易	2	5.1	7.1	10.1	11.1		
多选题	专业知识	变造的货币是指在真币的基础上，利用 (  )等多种方法制作，改变真币原形态的假币。	易	1234	挖补	移位	重印	拼凑		
多选题	专业知识	关于假币的收缴，下列说法正确的是（）。	易	123	金融机构在办理业务时发现假币，由该金融机构两名以上业务人员当面予以收缴。	对假人民币纸币，应当面加盖“假币”字样的戳记;	收缴假币的金融机构向持有人出具中国人民银行统一印制的《假币收缴凭证》，	持有人如对被收缴的货币真伪有异议，可根据情况交予持有人。		
多选题	专业知识	假币收缴专用袋上应标明以下哪几项内容 (  )。	中	123	收缴人	券别	冠字号码	收缴单位		
多选题	专业知识	金融机构截留或私自处理收缴的假币，或使已收缴的假币重新流入市场的。由中国人民银行给予 (  )，同时，责成金融机构对相关主管人员和其他直接责任人给予相应纪律处分。	中	12	警告       	罚款	记过	开除		
多选题	专业知识	金融机构有发现假币而不收缴行为的，对金融机构处以（）元以上（）元以下罚款;涉及假外币的，对金融机构处以1000元以下的罚款。	难	14	1000	5000	1万	5万		
判断题	专业知识	残缺、污损人民币是指票面撕裂、损缺，或因自然磨损、侵蚀，外观、质地受损，颜色变化，图案不清晰，防伪特征受损，不宜再继续流通使用的人民币。	易	1						
判断题	专业知识	办理人民币存取款业务的金融机构为公众兑换残缺、污损人民币时可收取必要的费用，但不得拒绝兑换。（  ）	易	-1						
判断题	专业知识	能辨别面额，票面剩余三分之一（含）至四分之三以下，其图案、文字能按原样连接的残缺、污损人民币，金融机构应向持有人按原面额的一半兑换。 	易	-1						
判断题	专业知识	金融机构在办理残缺、污损人民币兑换业务时，应向残缺、污损人民币持有人说明认定的兑换结果。不予兑换的残缺、污损人民币，应予没收。	易	-1						
单选题	专业知识	能辨别面额，票面剩余（  ）（含）以上，其图案、文字能按原样连接的残缺、污损人民币，金融机构应向持有人按原面额全额兑换。	中	2	四分之一	四分之三	五分之一	五分之三		
单选题	专业知识	纸币呈正十字形缺少（）的，按原面额的一半兑换。	易	3	二分之一	三分之一	四分之一	五分之一		
判断题	专业知识	支行运营管理职能部门组织人员至少每季对柜员现金箱进行一次检查，检查比例不低于营业机构柜员现金箱的50%	中	-1						
判断题	专业知识	对于当值主出纳柜员现金箱，每次“碰箱”检查时运营主管或运营主管授权人都应对现金大数卡把审核。	易	1						
单选题	专业知识	柜员现金箱及其他提款箱实行统一编号管理， (  )根据柜员及业务情况合理规划辖内各营业机构柜员现金箱编号。	中	1	管辖行	安全保卫部	运营管理部	分行		
单选题	专业知识	下列关于主出纳说法错误的是（）	易	4	营业期间柜员间现金调拨	营业机构与金库间现金调缴款	日终集中其他柜员缴存的现金	处理库房类现金交易		
单选题	专业知识	未设金库的营业机构，与随车业务员（押运员）办理柜员现金箱交接手续，交接双方必须通过（） 	易	3	锁具检查	箱体检查	身份认证	以上均不对		
单选题	专业知识	运营主管（包括副主管）应（）至少组织对柜员现金箱账实相符情况进行一次全面检查	易	2	每天	每周	每旬	每月		
多选题	专业知识	柜员现金箱现金实行限额控制，运营主管要根据本机构（），合理核定办理现金业务柜员的各币种现金限额。	难	13	日均现金	业务量	柜员岗位职责	现金计划		
多选题	专业知识	营业开始前，柜员从运营主管或运营主管授权人指定人员处领取各自柜员现金箱，柜员应检查（）的完整性	中	12	箱体	锁具	钥匙	以上都对		
多选题	专业知识	与随车业务员（押运员）办理现金箱包交接时，应做到 (  )	易	1234	身份认证	当面清点柜员现金箱数量	核对柜员现金箱编号	交接完毕后，双方签字确认		
多选题	专业知识	柜员休假1天（不含）以上（日常每周公休除外），柜员现金箱中的 (  )必须缴空，柜员现金箱中的 (  )必须“清零”或缴空	难	14	有价单证	重要空白凭证	收缴的假币	现金		
判断题	专业知识	经主管行长审核，报经行长逐笔审批同意的特殊物品，可封箱入库与现金、贵金属同区域存放。	中	-1						
判断题	专业知识	非营业时间设施维护人员进入库房必须经金库主任批准	难	-1						
判断题	专业知识	金库区域内可以办理现金兑换业务，但不能办理对外现金收付业务。（  ）	中	-1						
判断题	专业知识	 长期滞留库房的现金封签上应标明币种、票面、券别、数量、金额、封存日期及签章。    	易	1						
判断题	专业知识	实行双人一组现金清分的，即其中一名清分员初点，另一名清分员复点，两人共同盖章卡把打捆，可疑币须经两人鉴定。	难	-1		 				
判断题	专业知识	现金清分人员中途离开工作台或临时性离开清分区，清分款项应由清分主管或指定清分人员现场监督；监督人应面向有效监控举手示意。	易	1		 				
判断题	专业知识	现金清分发现错款当日能够查明原因的，应做库房长短款或假币收缴处理。	中	-1		 				
判断题	专业知识	金库密码门控电子密码锁，不设置备用密码，应按季更换。	易	1		 				
判断题	专业知识	金库所在行的运营管理部门业务检查时，每次应抽查2个自助设备点，并随机通过3天的监控录像检查制度执行情况。	易	1						
单选题	专业知识	关于金库运营业务基本原则下列说法错误的是（）	难	2	坚持“不相容岗位相分离”的原则	实物出入库坚持“实物入库先记账后入库，实物出库先出库后记账”的原则。	实物调拨坚持“根据指令、见单调拨、岗位制约、控制有效”的原则。	门控密钥管理坚持“分管分用、平行交接”和不断提升门控科技水平的原则。		
单选题	专业知识	系统外及超限额现金调拨需经（）部门审批后进行操作。	难	2	运营管理部门	资产负债管理部门	现金中心	财务会计部		
单选题	专业知识	现金中心的作业区不包括（）。	中	3	交接区	清分区	保管区	办公区		
单选题	专业知识	报经（）逐笔审批同意的特殊物品，可封箱入库保管，但必须与现金、贵金属划分区域存放。	易	4	业务主管	金库主任	主管行长	行长		
单选题	专业知识	外部机构不得进入保管区，如有特殊情况需要进入的，必须报经（）批准。	中	1	一级分行	二级分行	金库所属行	现金中心		
单选题	专业知识	"关于分支库的岗位职责分工，下列说法错误的是（  ）。

"	中	4	分支库管库员、解款员为运营管理条线岗位	守库员、押运员、枪弹管理、监控管理、运钞车驾驶员为安全保卫条线岗位。	运营管理条线和安全保卫条线岗位之间不得兼任	管库岗报经一级分行运营管理部门批准，管库员可开设BoEing系统柜员号处理库房类交易。		
单选题	专业知识	库房实物封签时间达到（）的箱（袋）要重新开封清点换封重装。 	易	1	一个月	二个月	三个月	四个月		
单选题	专业知识	关于库房实物保管、摆放下列说法错误的是（）	易	3	现金应按不宜流通券、可流通券、假币等分币种细分上架 。	贵金属应分类保管。 	封装人员变动无需重新清点封存。	 有价证券码放要求与人民币现钞相同。		
单选题	专业知识	 金库应按日均清分量（）万/台的标准，配备清分机；	易	3	200	300	400	500		
单选题	专业知识	下面说法错误的是（）	易	4	金库配送业务实行全程实物封箱（包）运送，由装箱人员双人装箱加锁，并使用一次性封签。	配送过程中所有交接环节必须登记。	金库配送过程必须双人专车运送（不包括司机）	交接时双方应相互核验身份，账务核销后接收方应及时进行实物收妥。		
单选题	专业知识	关于实行集中加配钞管理的自助设备说法错误的是（）	难	4	自助设备对应的BoEing系统柜员可统一设置在配送机构的账务处理行或挂靠对外营业机构。	现场加钞必须双人操作，采取整体更换钞箱方式进行 。	 自助设备集中加配钞的装箱、回钞清点至少要两人同时在场。	自助设备加配钞装箱及回钞清点应采用双人一组清分模式。 		
单选题	专业知识	关于贵金属入库交接说法错误的是（）	中	1	调入贵金属产品应由运营管理部门派人现场监交	交接必须在指定区域视频监控下办理，交接过程双方应始终在场。	视频录像至少保存30天	未通过VMS系统办理交接的，交接完成后，双方应在《箱包交接登记簿》或交接确认书上签字确认。		
单选题	专业知识	下列不属于金库代理业务的是（）。	难	2	代理人民银行货币发行业务	金融同业自助设备加配钞业务	金融同业款箱寄存业务	系统内他行现金调拨、款箱寄存业务		
单选题	专业知识	下列关于虚拟库说发错误的是（）	中	4	虚拟库的实物在BoEing系统柜员现金箱中核算的，按照柜员现金箱管理规定进行实物管理与检查。	虚拟库的实物在账务挂靠行BoEing系统库存余额核算的，应参照现金中心、分支库配备专职人员 	虚拟库的实物管理要落实岗位制约要求和金库业务检查频次要求。 	撤并前实体金库符合安全保卫相关规定的日终贵金属产品可不外寄其他金库。		
单选题	专业知识	（）是金库保管区门控的主管部门。	易	2	安全保卫部门	运营管理部门	库房管理部门	现金中心		
单选题	专业知识	（）不必参与金库机械锁备用钥匙的密封、签章。	易	1	金库主任	管库员	运营管理部门负责人	主管金库的行长		
单选题	专业知识	金库生物门控管理员应由（）担任。	易	2	管库员	金库主任	运营主管	金库主管行长		
单选题	专业知识	金库运营业务检查的内容不包括（）	中	3	金库岗位设置及人员管理情况	库存限额管理	安全保卫制度执行情况	调拨及出入库管理		
单选题	专业知识	下列选项中（）不包括在金库查库范围之内。	易	2	现金实物	营业时间的自助设备钞箱	贵金属	有价单证		
单选题	专业知识	关于分支库的常规检查责任人和检查频率，下列说法错误的是（）。	易	1	分支库账务挂靠行运营主管每周查库一次	金库负责人每月查库一次，	管辖行运营管理部门负责人每季查库一次，	管辖行主管行长每半年查库一次		
多选题	专业知识	贵金属的调拨审批、产品退出、库存限额管理及相关业务指导（）部门负责。	难	24	运营管理部	零售银行业务部门	资产负债管理部门	金融市场部门		
多选题	专业知识	下列（）可在金库存放。	难	1234	已兑付未核销的有价单证	本外币票样	假币	现钞鉴别手册		
多选题	专业知识	金库存放物品范围包括（）	易	124	本外币现钞	贵金属	抵质押权证	款箱（包）		
多选题	专业知识	现金中心和分支库应通过VMS系统登记（） 	难	23	《金库现金登记簿》	《金库运营工作日志》	《查库登记簿》	《票币清分出入库登记簿》		
多选题	专业知识	金库实物管理的要求包括（）	易	1234	金库存放物品，非营业时间必须全部入保管区保管	严禁在金库内办理与金库业务无关的事项	不宜流通币、残损币及假币应及时清理上缴	金库应建立实物登记制度，记录贵金属、有价单证、寄存款箱、票样及其他有价值品等保管及出入库情况。		
多选题	专业知识	长期滞留库房的现金可由（）共同清点，入箱加封保管，封签上应标明币种、票面、券别、数量、金额、封存日期及签章。    	易	134	金库主任	网点负责人	运营主管	管库员		
多选题	专业知识	下列说法正确的是（）	难	1234	每日营业终了，管库员必须碰库，与记账员进行双向核对                 	管库员确保金库保管实物与VMS系统库存余额、票面、券别，BoEing系统账务余额、票面、券别核对相符。      	季末最后一天和非季末月的最后一个工作日管库员要进行一次全面盘库，确保账实相符	库存实物核对至少由两名管库员共同进行		
多选题	专业知识	"关于运送中现金的核算，下列说法正确的是（）。
"	中	124	运送中现金必须通过“运送中现金”科目核算，当日所需现金应当日核销。	预约出库、日终缴款的运送中现金，可延至次日核销，遇公休日或节假日可延至下一工作日核销	系统内现金调拨，因特殊情况退回的，可于收到退回现金的次日核销“运送中现金”。	年末“运送中现金”科目不得有余额。		
